Player,Pos'n,MLS,2019 
"Harper, Bryce",rf,6.159,"$11,538,462 "
"Cervelli, Francisco",c,8.146,"$11,500,000 "
"Rizzo, Anthony",1b,6.168,"$11,285,714 "
"Perez, Salvador",c,7.050,"$11,200,000 "
"Teheran, Julio",rhp-s,6.062,"$11,166,666 "
"Harvey, Matt",rhp-s,6.072,"$11,000,000 "
"Miller, Andrew",lhp,10.062,"$11,000,000 "
"Lindor, Francisco",ss,3.113,"$10,550,000 "
"Calhoun, Kole",rf,5.130,"$10,500,000 "
"Quintana, Jose",lhp-s,6.133,"$10,500,000 "
"Gurriel, Yulieski",1b,2.043,"$10,400,000 "
"Marte, Starling",cf,5.162,"$10,333,333 "
"McCutchen, Andrew",lf,9.123,"$10,000,000 "
"Murphy, Daniel",1b,9.109,"$10,000,000 "
"Roark, Tanner",rhp-s,5.055,"$10,000,000 "
"Robertson, David",rhp,10.070,"$10,000,000 "
"Castellanos, Nicholas",3b,5.029,"$9,950,000 "
"Minor, Mike",lhp-s,7.138,"$9,833,333 "
"Gennett, Scooter",2b,5.071,"$9,775,000 "
"Carrasco, Carlos",rhp-s,7.147,"$9,750,000 "
"Yelich, Christian",cf,5.069,"$9,750,000 "
"Puig, Yasiel",rf,5.102,"$9,700,000 "
"Wood, Alex",lhp-s,5.123,"$9,650,000 "
"Altuve, Jose",2b,7.072,"$9,500,000 "
"Cashner, Andrew",rhp-s,8.126,"$9,500,000 "
"deGrom, Jacob",rhp-s,4.139,"$9,500,000 "
"Kikuchi, Yusei",lhp-s,0.000,"$9,500,000 "
"Odorizzi, Jake",rhp-s,5.042,"$9,500,000 "
"Gausman, Kevin",rhp-s,4.151,"$9,350,000 "
"Lynn, Lance",rhp-s,7.119,"$9,333,334 "
"Nicasio, Juan",rhp,7.084,"$9,250,000 "
"Nova, Ivan",rhp-s,8.024,"$9,166,667 "
"Cahill, Trevor",rhp-s,9.093,"$9,000,000 "
"Dozier, Brian",2b,6.100,"$9,000,000 "
"Frazier, Todd",3b,7.071,"$9,000,000 "
"Hunter, Tommy",rhp,9.066,"$9,000,000 "
"Lagares, Juan",cf,5.160,"$9,000,000 "
"Mikolas, Miles",rhp-s,2.037,"$9,000,000 "
"Morrow, Brandon",rhp-c,10.096,"$9,000,000 "
"O'Day, Darren",rhp,10.103,"$9,000,000 "
"Ottavino, Adam",rhp,7.087,"$9,000,000 "
"Paxton, James",lhp-s,4.151,"$8,575,000 "
"Bradley, Jackie Jr.",cf,4.150,"$8,550,000 "
"Allen, Cody",rhp,6.076,"$8,500,000 "
"Dickerson, Corey",lf,5.101,"$8,500,000 "
"Herrera, Kelvin",rhp-c,6.157,"$8,500,000 "
"Lowrie, Jed",2b,10.111,"$8,500,000 "
"McGee, Jake",lhp,7.127,"$8,500,000 "
"Reed, Addison",rhp,7.001,"$8,500,000 "
"Shaw, Bryan",rhp,7.081,"$8,500,000 "
"Swarzak, Anthony",rhp,7.024,"$8,500,000 "
"Eaton, Adam",cf,6.030,"$8,400,000 "
"Ramos, Wilson",c,8.047,"$8,250,000 "
"Kiermaier, Kevin",cf,4.131,"$8,166,667 "
"Gibson, Kyle",rhp-s,5.039,"$8,125,000 "
"Alonso, Yonder",1b,7.116,"$8,000,000 "
"Castro, Jason",c,8.104,"$8,000,000 "
"Pineda, Michael",rhp-s,7.099,"$8,000,000 "
"Sabathia, CC",lhp-s,18.000,"$8,000,000 "
"Sanchez, Anibal",rhp-s,12.083,"$8,000,000 "
"Smith, Joe",rhp,11.091,"$8,000,000 "
"Smoak, Justin",1b,8.077,"$8,000,000 "
"Vargas, Jason",lhp-s,11.114,"$8,000,000 "
"Odor, Rougned",2b,4.121,"$7,833,333 "
"Cecil, Brett",lhp,8.152,"$7,750,000 "
"Hernandez, Cesar",2b,4.154,"$7,750,000 "
"Neshek, Pat",rhp,10.159,"$7,750,000 "
"Archer, Chris",rhp-s,5.156,"$7,666,667 "
"Gardner, Brett",lf,10.072,"$7,500,000 "
"Gray, Sonny",rhp-s,5.061,"$7,500,000 "
"Schoop, Jonathan",2b-3b,5.027,"$7,500,000 "
"Hendricks, Kyle",rhp-s,4.081,"$7,405,000 "
"Stroman, Marcus",rhp-s,4.148,"$7,400,000 "
"Piscotty, Stephen",rf,3.076,"$7,333,333 "
"Colome, Alex",rhp,4.118,"$7,325,000 "
"Suarez, Eugenio",3b,4.061,"$7,285,714 "
"Betances, Dellin",rhp,5.078,"$7,250,000 "
"Castillo, Welington",c,6.104,"$7,250,000 "
"Gomes, Yan",c,6.083,"$7,083,333 "
"Hand, Brad",lhp,5.092,"$7,083,333 "
"Dunn, Michael",lhp,8.079,"$7,000,000 "
"Moustakas, Mike",3b,7.111,"$7,000,000 "
"Peralta, David",rf,4.120,"$7,000,000 "
"Richards, Garrett",rhp-s,6.148,"$7,000,000 "
"Smyly, Drew",lhp-s,6.154,"$7,000,000 "
"Chacin, Jhoulys",rhp-s,8.054,"$6,750,000 "
"Familia, Jeurys",rhp,6.023,"$6,666,667 "
"Anderson, Chase",rhp ,4.146,"$6,500,000 "
"Cishek, Steve",rhp,7.143,"$6,500,000 "
"Holland, Derek",lhp-s,9.105,"$6,500,000 "
"Moreland, Mitch",1b-dh,8.067,"$6,500,000 "
"Osuna, Roberto",rhp-c,3.098,"$6,500,000 "
"Soria, Joakim",rhp,12.000,"$6,500,000 "
"Wong, Kolten",2b,5.045,"$6,500,000 "
"Treinen, Blake",rhp-c,4.065,"$6,400,000 "
"Wacha, Michael",rhp-s,5.062,"$6,350,000 "
"Giles, Ken",rhp-c,4.106,"$6,300,000 "
"Hicks, Aaron",of,5.041,"$6,285,714 "
"Pearce, Steve",1b-lf,9.116,"$6,250,000 "
"Strop, Pedro",rhp,7.156,"$6,250,000 "
"Escobar, Eduardo",3b,6.128,"$6,166,666 "
"Polanco, Gregory",lf,4.103,"$6,100,000 "
"Ray, Robbie",lhp-s,4.007,"$6,050,000 "
"Doolittle, Sean",lhp-c,6.122,"$6,000,000 "
"Fiers, Michael",rhp-s,5.085,"$6,000,000 "
"Iglesias, Raisel",rhp-c,3.154,"$6,000,000 "
"Kepler, Max",rf,2.152,"$6,000,000 "
"Rosenthal, Trevor",rhp,5.058,"$6,000,000 "
"Syndergaard, Noah",rhp-s,3.149,"$6,000,000 "
"Thames, Eric",1b,3.063,"$6,000,000 "
"Wheeler, Zack",rhp-s,5.098,"$5,975,000 "
"Realmuto, J.T.",c,4.038,"$5,900,000 "
"Semien, Marcus",ss,4.118,"$5,900,000 "
"McHugh, Collin",rhp-s,5.085,"$5,800,000 "
"Pillar, Kevin",cf,4.113,"$5,800,000 "
"Chirinos, Robinson",c,6.103,"$5,750,000 "
"Ross, Tyson",rhp-s,7.118,"$5,750,000 "
"Inciarte, Ender",cf,4.157,"$5,700,000 "
"Myers, Wil",lf,5.104,"$5,500,000 "
"Petit, Yusmeiro",rhp,8.016,"$5,500,000 "
"Foltynewicz, Mike",rhp-s,3.163,"$5,475,000 "
"Herrera, Odubel",cf,4.000,"$5,350,000 "
"Mercer, Jordy",ss,6.095,"$5,250,000 "
"Rodney, Fernando",rhp-c,15.137,"$5,250,000 "
"Baez, Javier",2b,3.089,"$5,200,000 "
"Franco, Maikel",3b,3.170,"$5,200,000 "
"Knebel, Corey",rhp,3.151,"$5,125,000 "
"Walker, Taijuan",rhp-s,4.142,"$5,025,000 "
"Correa, Carlos",ss,3.119,"$5,000,000 "
"Dyson, Sam",rhp,4.142,"$5,000,000 "
"Gregerson, Luke",rhp,10.000,"$5,000,000 "
