Player,Pos'n,MLS,2019 
"Sipp, Tony",lhp,9.100,"$1,000,000 "
"Wolters, Tony",c,2.161,"$960,000 "
"Casali, Curt",c,2.151,"$950,000 "
"Andriese, Matt",rhp-s,3.071,"$920,000 "
"Elias, Roenis",lhp,3.069,"$910,000 "
"Garcia, Greg",ss,3.083,"$910,000 "
"Swihart, Blake",c,2.164,"$910,000 "
"Biagini, Joe",rhp,2.134,"$900,000 "
"Cedeno, Xavier",lhp,5.005,"$900,000 "
"Gonzales, Marco",lhp,1.102,"$900,000 "
"May, Trevor",rhp,4.012,"$900,000 "
"Murphy, John Ryan",c,3.043,"$900,000 "
"Dull, Ryan",rhp,2.143,"$860,000 "
"Choi, Ji-Man",1b,1.076,"$850,000 "
"Sucre, Jesus",c,4.137,"$850,000 "
"Flynn, Brian",lhp,3.086,"$800,000 "
"Guerra, Javy",rhp,3.148,"$800,000 "
"Hahn, Jesse",rhp,3.067,"$800,000 "
"Karns, Nate",rhp-s,4.033,"$800,000 "
"Heredia, Guillermo",of,2.053,"$782,000 "
"Barnette, Tony",rhp,3.000,"$750,000 "
"Wilson, Alex",rhp,5.038,"$750,000 "
"Benintendi, Andrew",lf,2.062,"$717,500 "
"Garcia, Yimi",rhp,3.149,"$710,000 "
"Beckham, Gordon",2b,8.032,"$700,000 "
"Shuck, J.B.",lf,3.166,"$700,000 "
"Hader, Josh",lhp,1.115,"$687,600 "
"Judge, Aaron",rf-dh,2.051,"$684,300 "
"Contreras, Willson",c,2.108,"$684,000 "
"Goodrum, Niko",1b-of,1.031,"$670,500 "
"Sanchez, Gary",c,2.086,"$669,800 "
"Barlow, Scott",rhp,0.030,"$650,000 "
"Gore, Terrance",of,1.031,"$650,000 "
"Ohtani, Shohei",rhp-s,1.000,"$650,000 "
"Rodriguez, Richard",rhp,1.016,"$650,000 "
"Bregman, Alex",3b,2.070,"$640,500 "
"Aguilar, Jesus",1b,2.082,"$637,500 "
"Schebler, Scott",rf,2.132,"$625,000 "
"Berrios, Jose O.",rhp-s,2.044,"$620,000 "
"Andujar, Miguel",3b,1.020,"$617,600 "
"Almora, Albert",cf,2.073,"$615,500 "
"Devers, Rafael",3b,1.070,"$614,500 "
"Rosscup, Zac",lhp,3.164,"$610,000 "
"Godley, Zack",rhp-s,2.112,"$609,400 "
"Diaz, Edwin",rhp-c,2.121,"$607,425 "
"Gallo, Joey",3b,2.103,"$605,500 "
"Torres, Gleyber",2b,0.162,"$605,200 "
"Bellinger, Cody",1b-of,1.160,"$605,000 "
"Green, Chad",rhp,2.050,"$598,650 "
"Nimmo, Brandon",lf,2.042,"$598,285 "
"Pivetta, Nick",rhp-s,1.129,"$598,000 "
"Montgomery, Jordan",lhp-s,1.153,"$596,600 "
"Stripling, Ross",rhp,2.115,"$595,000 "
"Miller, Justin",rhp,2.128,"$593,200 "
"Clevinger, Mike",rhp-s,2.041,"$592,200 "
"Lugo, Seth",rhp-s,2.082,"$591,875 "
"Haniger, Mitch",rf,2.048,"$590,100 "
"Stassi, Max",c,2.049,"$590,100 "
"Eflin, Zach",rhp-s,2.018,"$590,000 "
"Taillon, Jameson",rhp-s,2.110,"$587,500 "
"Bell, Josh",1b-rf,2.053,"$587,000 "
"Anderson, Brian",3b,1.031,"$585,000 "
"Jackson, Luke",rhp,2.019,"$585,000 "
"Swanson, Dansby",ss,2.047,"$585,000 "
"Frazier, Adam",ss-of,2.075,"$584,000 "
"Williams, Trevor",rhp-s,2.027,"$584,000 "
"Kemp, Tony",2b-of,1.098,"$583,600 "
"Goodwin, Brian",of,2.019,"$583,500 "
"White, Tyler",1b,1.101,"$582,900 "
"Gsellman, Robert",rhp-s,2.042,"$582,500 "
"Musgrove, Joe",rhp-s,2.063,"$582,500 "
"Renfroe, Hunter",rf,1.165,"$582,100 "
"Strahm, Matt",lhp,2.064,"$581,700 "
"Crick, Kyle",rhp,1.103,"$581,500 "
"Santana, Edgar",rhp,1.048,"$581,500 "
"Weaver, Luke",rhp-s,1.112,"$581,300 "
"Narvaez, Omar",c,2.089,"$581,200 "
"Difo, Wilmer",ss,2.110,"$581,100 "
"Holder, Jonathan",rhp,1.144,"$580,300 "
"Chapman, Matt",3b,1.109,"$580,000 "
"Lopez, Reynaldo",rhp-s,1.096,"$580,000 "
"Winker, Jesse",lf-rf,1.080,"$580,000 "
"Healy, Ryon",1b-dh,2.080,"$579,800 "
"Gaviglio, Sam",rhp,1.067,"$579,500 "
"Moran, Colin",3b,1.107,"$579,500 "
"Maile, Luke",c,2.099,"$579,000 "
"Cessa, Luis",rhp,1.131,"$578,975 "
"Hernandez, Teoscar",lf,1.102,"$578,600 "
"Diaz, Elias",c,2.088,"$578,500 "
"Smith, Mallex",lf-cf,2.125,"$578,400 "
"Bader, Harrison",of,1.038,"$578,300 "
"Soto, Juan",lf ,0.134,"$578,300 "
"Junis, Jake",rhp-s,1.087,"$578,250 "
"McCarthy, Kevin",rhp,1.123,"$578,250 "
"Keller, Brad",rhp-s,1.000,"$578,125 "
"Alberto, Hanser",ss,2.085,"$578,000 "
"Kuhl, Chad",rhp-s,2.079,"$578,000 "
"Brasier, Ryan",rhp,1.126,"$577,500 "
"German, Domingo",rhp-s,1.017,"$577,500 "
"Margot, Manuel",cf,2.012,"$577,100 "
"Gonzalez, Erik",ss,2.007,"$577,000 "
"Grace, Matt",lhp,2.065,"$576,400 "
"Mondesi, Adalberto",ss,1.088,"$576,000 "
"Mancini, Trey",1b-of,2.015,"$575,500 "
"Rosario, Amed",ss,1.062,"$575,500 "
"Albies, Ozzie",ss,1.062,"$575,000 "
"Alexander, Scott",lhp,2.097,"$575,000 "
"Bard, Luke",rhp,0.030,"$575,000 "
"Barnes, Austin",c,2.124,"$575,000 "
"Biddle, Jesse",lhp,1.166,"$575,000 "
"Brennan, Brandon",rhp,0.000,"$575,000 "
"Camargo, Johan",2b,1.137,"$575,000 "
"Carle, Shane",rhp,1.032,"$575,000 "
"Garver, Mitch",c,1.045,"$575,000 "
"Graveman, Kendall",rhp-s,3.078,"$575,000 "
"Hoskins, Rhys",1b,1.053,"$575,000 "
"Johnson, Brian",lhp,1.043,"$575,000 "
"Minter, A.J.",lhp,1.040,"$575,000 "
"Moncada, Yoan",2b-3b,1.106,"$575,000 "
"Muncy, Max",1b ,2.027,"$575,000 "
"Newcomb, Sean",lhp-s,1.114,"$575,000 "
"Olson, Matt",1b,1.103,"$575,000 "
"Steckenrider, Drew",rhp-c,1.094,"$575,000 "
"Williams, Nick",rf,1.094,"$575,000 "
"Naquin, Tyler",rf,2.033,"$574,800 "
"Bracho, Silvino",rhp,1.082,"$574,600 "
"Brault, Steven",lhp-s,1.083,"$574,500 "
"Mahtook, Mikie",cf,2.110,"$574,500 "
"Osuna, Jose",of,1.077,"$573,500 "
"Ramos, Edubray",rhp,2.075,"$573,500 "
"Voit, Luke",1b,0.169,"$573,200 "
"Hill, Tim",lhp,1.000,"$573,175 "
"Giolito, Lucas",rhp-s,1.080,"$573,000 "
"Bleier, Richard",lhp,2.074,"$572,500 "
"Cave, Jake",of,0.113,"$572,500 "
"Hildenberger, Trevor",rhp,1.101,"$572,500 "
"Smith, Kevan",c,2.031,"$572,500 "
"Broxton, Keon",cf,2.038,"$571,765 "
"Gant, John",rhp-s,2.004,"$571,300 "
"Covey, Dylan",rhp,1.136,"$571,000 "
"Engel, Adam",of,1.118,"$571,000 "
"Farmer, Buck",rhp,2.083,"$570,800 "
"Alvarado, Jose",lhp-c,1.093,"$570,600 "
"Moroff, Max",2b,1.008,"$570,500 "
"Reyes, Franmil",rf,0.115,"$570,500 "
"Wendle, Joey",2b,1.088,"$570,400 "
"Robertson, Daniel",ss,1.156,"$570,300 "
"Alfaro, Jorge",c,1.083,"$570,000 "
"Brinson, Lewis",cf,1.025,"$570,000 "
"Buehler, Walker",rhp,0.168,"$570,000 "
"Mahle, Tyler",rhp,1.018,"$570,000 "
"Peralta, Wandy",lhp,2.010,"$570,000 "
"Richards, Trevor",rhp-s,0.142,"$570,000 "
"Rickard, Joey",of,2.120,"$570,000 "
"Caratini, Victor",c,1.051,"$569,500 "
"Guzman, Ronald",1b,0.171,"$569,500 "
"Kiner-Falefa, Isiah",3b,1.000,"$569,500 "
"Brebbia, John",rhp,1.093,"$569,300 "
"Jimenez, Joe",rhp,1.077,"$569,200 "
"Castro, Miguel",rhp,2.079,"$569,000 "
"Fry, Jace",lhp,1.005,"$569,000 "
"Kingham, Nick",rhp,0.092,"$569,000 "
"Neverauskas, Dovydas",rhp,0.123,"$569,000 "
"Pena, Felix",rhp,1.079,"$569,000 "
"Ramirez, Noe",rhp,1.139,"$569,000 "
"Austin, Tyler",of,1.159,"$568,600 "
"Tuivailala, Sam",rhp,2.082,"$568,600 "
"Velazquez, Hector",rhp,1.048,"$568,500 "
"Mayza, Tim",lhp,0.156,"$568,300 "
"Suter, Brent",lhp,1.161,"$568,300 "
"McNeil, Jeff",3b-lf,0.069,"$567,714 "
"Gamel, Ben",of,2.024,"$567,700 "
"Barnes, Jacob",rhp,2.098,"$567,600 "
"Koch, Matt",rhp,0.141,"$567,600 "
"Garrett, Amir",lhp,1.099,"$567,500 "
"Gott, Trevor",rhp,1.048,"$567,500 "
"Moronta, Reyes",rhp,1.028,"$567,500 "
"Stratton, Chris",rhp-s,1.100,"$567,500 "
"Wright, Mike",rhp,2.111,"$567,500 "
"VerHagen, Drew",rhp-s,2.126,"$567,400 "
"Dozier, Hunter",3b,1.060,"$567,225 "
"Hicks, John",c,2.001,"$567,100 "
"Jones, JaCoby",cf,1.125,"$567,100 "
"Palka, Daniel",of,0.160,"$567,000 "
"James, Josh",rhp,0.030,"$566,800 "
"Glasnow, Tyler",rhp-s,1.158,"$566,700 "
"Lamet, Dinelson",rhp-s,1.130,"$566,700 "
"Stumpf, Daniel",lhp,2.063,"$566,600 "
"Valdez, Framber",lhp,0.041,"$566,600 "
"Arcia, Orlando",ss,2.047,"$565,700 "
"Reyes, Pablo",2b-of,0.030,"$565,500 "
"Borucki, Ryan",lhp-s,0.088,"$565,200 "
"Lucchesi, Joey",lhp-s,1.000,"$565,100 "
"Bassitt, Chris",rhp,2.130,"$565,000 "
"Cotton, Jharel",rhp-s,2.026,"$565,000 "
"Floro, Dylan",rhp,1.049,"$565,000 "
"Freeland, Kyle",lhp-s,2.000,"$565,000 "
"Fried, Max",lhp-s,0.148,"$565,000 "
"Guerrero, Tayron",rhp,1.004,"$565,000 "
"Knapp, Andrew",c,1.171,"$565,000 "
"Marquez, German",rhp-s,2.027,"$565,000 "
"Moore, Dylan",3b,0.000,"$565,000 "
"Parsons, Wes",rhp,0.005,"$565,000 "
"Pinder, Chad",2b-of,2.047,"$565,000 "
"Sobotka, Chad",rhp,0.043,"$565,000 "
"Stephenson, Robert",rhp,1.049,"$565,000 "
"Stewart, Brock",rhp,1.059,"$565,000 "
"Urias, Julio",lhp-s,1.122,"$565,000 "
"Wilson, Bryse",rhp-s,0.031,"$565,000 "
"Wright, Kyle",rhp-s,0.030,"$565,000 "
"Peralta, Freddy",rhp,0.090,"$564,600 "
"Reyes, Alex",rhp-s,2.055,"$564,600 "
"Luplow, Jordan",of,0.112,"$564,500 "
"Glover, Koda",rhp,2.049,"$564,300 "
"Stanek, Ryne",rhp,1.038,"$564,200 "
"Robinson, Drew",2b,1.039,"$564,100 "
"Dominguez, Seranthony",rhp,0.147,"$564,000 "
"Hernandez, Marco",ss,2.105,"$564,000 "
"O'Neill, Tyler",of,0.101,"$564,000 "
"Rosario, Randy",lhp,0.132,"$564,000 "
"Stallings, Jacob",c,0.149,"$564,000 "
"Cimber, Adam",rhp,1.000,"$563,800 "
"Williams, Taylor",rhp,1.026,"$563,800 "
"Mayers, Mike",rhp,1.031,"$563,700 "
"Hess, David",rhp,0.119,"$563,500 "
"Middleton, Keynan",rhp,1.150,"$563,500 "
"Severino, Pedro",c,1.099,"$563,500 "
"Yarbrough, Ryan",lhp-s,1.000,"$563,400 "
"Maton, Phil",rhp,1.107,"$562,900 "
"Burnes, Corbin",rhp,0.086,"$562,800 "
"Pompey, Dalton",cf,1.151,"$562,800 "
"Lauer, Eric",lhp-s,0.160,"$562,500 "
"Suero, Wander",rhp,0.123,"$562,500 "
"Adames, Willy",ss,0.105,"$562,400 "
"Bradford, Chase",rhp,1.084,"$562,300 "
"Lopez, Jorge",rhp-s,0.102,"$562,250 "
"Flaherty, Jack",rhp-s,1.006,"$562,100 "
"Munoz, Yairo",ss,0.154,"$562,000 "
"Nunez, Renato",3b-lf,0.167,"$562,000 "
"Urena, Richard",ss,0.094,"$562,000 "
"Chirinos, Yonny",rhp-s,0.137,"$561,800 "
"Anderson, Justin",rhp,0.161,"$561,500 "
"Bote, David",2b,0.100,"$561,500 "
"Castillo, Diego",rhp,0.118,"$561,500 "
"Fletcher, David",ss,0.111,"$561,500 "
"Davis, J.D.",3b,0.137,"$561,420 "
"Woodruff, Brandon",rhp,0.161,"$561,400 "
"Rodriguez, Dereck",rhp,0.126,"$561,250 "
"Zimmer, Bradley",of,1.036,"$561,200 "
"Brito, Socrates",of,1.074,"$561,000 "
"Olson, Tyler",lhp,1.114,"$560,900 "
"Kolarek, Adam",lhp,0.112,"$560,800 "
"Allen, Greg",of,0.148,"$560,400 "
"Bauers, Jake",lf,0.116,"$560,400 "
"Diaz, Miguel",rhp,1.047,"$560,400 "
"Font, Wilmer",rhp,1.085,"$560,400 "
"Castillo, Jose",lhp,0.121,"$560,300 "
"Cordero, Franchy",cf,1.038,"$560,100 "
"Pannone, Tom",lhp,0.049,"$560,100 "
"Smith Jr., Dwight",lf,0.085,"$560,100 "
"Acuna, Ronald",lf,0.159,"$560,000 "
"Astudillo, Willians",c,0.061,"$560,000 "
"Brooks, Aaron",rhp-s,1.102,"$560,000 "
"Dahl, David",lf,1.162,"$560,000 "
"Ferguson, Caleb",lhp,0.113,"$560,000 "
"Gossett, Daniel",rhp,1.059,"$560,000 "
"Herrera, Rosell",2b-of,0.131,"$560,000 "
"Kelly, Carson",c,0.161,"$560,000 "
"Magill, Matt",rhp,1.031,"$560,000 "
"McMahon, Ryan",1b-3b,1.006,"$560,000 "
"Mejia, Adalberto",lhp-s,1.052,"$560,000 "
"Montas, Frankie",rhp,1.089,"$560,000 "
"Moya, Gabriel",lhp,0.111,"$560,000 "
"Riddle, J.T.",ss,1.149,"$560,000 "
"Rondon, Jose",2b,0.096,"$560,000 "
"Senzatela, Antonio",rhp-s,1.126,"$560,000 "
"Tapia, Raimel",of,1.020,"$560,000 "
"Verdugo, Alex",of,0.078,"$560,000 "
"Stock, Robert",rhp,0.085,"$559,900 "
"Walker, Christian",1b,0.124,"$559,800 "
"Bieber, Shane",rhp-s,0.097,"$559,600 "
"McKinney, Billy",of,0.101,"$559,400 "
"Smith, Dominic",1b,0.146,"$559,320 "
"Rumbelow, Nick",rhp,0.149,"$559,300 "
"Alcantara, Victor",rhp,0.107,"$559,100 "
"Armstrong, Shawn",rhp,1.028,"$559,100 "
"Hudson, Dakota",rhp,0.066,"$559,100 "
"Stevenson, Andrew",lf ,0.158,"$559,100 "
"Banuelos, Manny",lhp,0.146,"$559,000 "
"Burdi, Nick",rhp,1.000,"$559,000 "
"Fry, Paul",lhp,0.096,"$559,000 "
"Quinn, Roman",of,0.088,"$559,000 "
"Yacabonis, Jimmy",rhp,0.078,"$559,000 "
"Jansen, Danny",c,0.050,"$558,700 "
"Greiner, Grayson",c,0.102,"$558,600 "
"Vogelbach, Dan",1b,0.138,"$558,600 "
"Freitas, David",c,0.159,"$558,500 "
"Ruiz, Rio",3b,0.109,"$558,500 "
"Travis, Sam",1b,0.119,"$558,500 "
"Diaz, Yandy",3b,0.122,"$558,400 "
"Wahl, Bobby",rhp,1.040,"$558,400 "
"Duggar, Steven",of,0.085,"$558,125 "
"De Leon, Jose",rhp,1.030,"$558,000 "
"Farrell, Luke",rhp-s,0.095,"$558,000 "
"Mendez, Yohander",lhp,0.103,"$558,000 "
"Wynns, Austin",c,0.102,"$558,000 "
"Robles, Victor",of,0.052,"$557,800 "
"O'Hearn, Ryan",1b,0.062,"$557,650 "
"Blandino, Alex",2b-ss,1.000,"$557,500 "
"Castillo, Luis",rhp-s,1.101,"$557,500 "
"Cole, Taylor",rhp,0.086,"$557,500 "
"Farmer, Kyle",c,0.129,"$557,500 "
"Laureano, Ramon",cf,0.059,"$557,500 "
"Martini, Nick",1b,0.082,"$557,500 "
"Mullins, Cedric",of,0.052,"$557,500 "
"Newman, Kevin",2b,0.046,"$557,500 "
"Reed, Michael",rf,0.076,"$557,500 "
"Smith, Drew",rhp,0.090,"$557,500 "
"Tellez, Rowdy",1b,0.027,"$557,500 "
"Trivino, Lou",rhp,0.163,"$557,500 "
"Wendelken, J.B.",rhp,0.108,"$557,500 "
"Meadows, Austin",rf,0.074,"$557,400 "
"Buttrey, Ty",rhp,0.046,"$557,250 "
"Tarpley, Stephen",lhp,0.030,"$557,250 "
"Wingenter, Trey",rhp,0.057,"$557,200 "
"Gallagher, Cam",c,0.106,"$557,125 "
"Araujo, Pedro",rhp,1.000,"$557,000 "
"Brewer, Colten",rhp,0.064,"$557,000 "
"Hampson, Garrett",2b-ss,0.051,"$557,000 "
"Johnson, D.J.",rhp,0.028,"$557,000 "
"Musgrave, Harrison",lhp,0.148,"$557,000 "
"Springs, Jeffrey",lhp,0.062,"$557,000 "
"Tauchman, Mike",cf,0.079,"$557,000 "
"Vargas, Ildemaro",ss,0.055,"$557,000 "
"Lopez, Yoan",rhp,0.028,"$556,900 "
"Banda, Anthony",lhp,0.050,"$556,800 "
"Nix, Jacob",rhp,0.052,"$556,800 "
"Perez, Michael",c,0.067,"$556,700 "
"Beeks, Jalen",lhp,0.070,"$556,500 "
"Davis, Jonathan",cf,0.027,"$556,500 "
"Hermosillo, Michael",of,0.058,"$556,500 "
"Smith, Caleb",lhp-s,1.078,"$556,500 "
"Zagunis, Mark",of,0.044,"$556,500 "
"Stewart, Christin",lf,0.022,"$556,400 "
"Mejia, Francisco",c,0.062,"$556,300 "
"Nido, Tomas",c,0.095,"$556,300 "
"Turnbull, Spencer",rhp-s,0.020,"$556,100 "
"Burr, Ryan",rhp,0.040,"$556,000 "
"Hamilton, Ian",rhp,0.031,"$556,000 "
"Kennedy, Brett",rhp,0.055,"$556,000 "
"Guillorme, Luis",inf,0.065,"$555,960 "
"Edwards, Jon",rhp,1.141,"$555,900 "
"Festa, Matt",rhp,0.024,"$555,500 "
"Means, John",lhp,0.007,"$555,500 "
"Oaks, Trevor",rhp-s,0.016,"$555,350 "
"Bautista, Gerson",rhp,0.018,"$555,200 "
"Peterson, Dustin",of,0.003,"$555,100 "
"Williams, Justin",of,0.002,"$555,100 "
"Alcantara, Sandy",rhp-s,0.100,"$555,000 "
"Alonso, Pete",1b,0.000,"$555,000 "
"Anderson, Nick",rhp,0.000,"$555,000 "
"Bergen, Travis",lhp,0.000,"$555,000 "
"Bird, Kyle",lhp,0.000,"$555,000 "
"Brice, Austin",rhp,1.101,"$555,000 "
"Cooper, Garrett",rf-1b,1.053,"$555,000 "
"Cordell, Ryan",of,0.028,"$555,000 "
"Dowdy, Kyle",rhp,0.000,"$555,000 "
"Ellis, Chris",rhp,0.000,"$555,000 "
"Fernandez, Julian",rhp,1.000,"$555,000 "
"Ferrell, Riley",rhp,0.000,"$555,000 "
"Frarae, Caleb",lhp,0.030,"$555,000 "
"Garrett, Reed",rhp,0.000,"$555,000 "
"Harper, Ryne",rhp,0.000,"$555,000 "
"Heineman, Scott",rf,0.000,"$555,000 "
"Heller, Ben",rhp,1.096,"$555,000 "
"Hicks, Jordan",rhp,1.000,"$555,000 "
"Jackson, Drew",ss,0.000,"$555,000 "
"Joe, Connor",1b,0.000,"$555,000 "
"Kinley, Tyler",rhp,0.061,"$555,000 "
"Kopech, Michael",rhp,0.041,"$555,000 "
"Lopez, Pablo",rhp-s,0.093,"$555,000 "
"Luciano, Elvis",rhp,0.000,"$555,000 "
"Martin, Richie",ss,0.000,"$555,000 "
"Noll, Jake",2b-3b,0.000,"$555,000 "
"Paddack, Chris",rhp-s,0.000,"$555,000 "
"Peterson, Tim",rhp,0.094,"$555,000 "
"Schwindel, Frank",1b,0.000,"$555,000 "
"Stamets, Eric",ss,0.000,"$555,000 "
"Tatis Jr., Fernando ",ss,0.000,"$555,000 "
"Thornton, Trent",rhp-s,0.000,"$555,000 "
"Wallach, Chad",c,0.090,"$555,000 "
"Zimmer, Kyle",rhp,0.000,"$555,000 "
