Player,Pos'n,MLS,Salary 
"Granderson, Curtis",rf,10.077,"$16,000,000 "
"Lackey, John",rhp-s,13.095,"$16,000,000 "
"Ortiz, David",dh,17.048,"$16,000,000 "
"Anderson, Brett",lhp-s,7.000,"$15,800,000 "
"Rasmus, Colby",cf-lf,7.000,"$15,800,000 "
"Wieters, Matt",c,6.129,"$15,800,000 "
"Danks, John",lhp-s,9.000,"$15,750,000 "
"Andrus, Elvis",ss,7.000,"$15,250,000 "
"Beltran, Carlos",rf,17.014,"$15,000,000 "
"Martin, Russell",c,9.150,"$15,000,000 "
"Peavy, Jake",rhp-s,13.101,"$15,000,000 "
"Swisher, Nick",1b-of,,"$15,000,000 "
"Cruz, Nelson",dh-rf,8.082,"$14,250,000 "
"Molina, Yadier",c,11.123,"$14,200,000 "
"Bautista, Jose",rf,10.165,"$14,000,000 "
"Bourn, Michael",of,,"$14,000,000 "
"Cabrera, Melky",lf,9.148,"$14,000,000 "
"Kinsler, Ian",2b,10.000,"$14,000,000 "
"Montero, Miguel",c,9.031,"$14,000,000 "
"Zimmerman, Ryan",1b,10.032,"$14,000,000 "
"Liriano, Francisco",lhp-s,9.104,"$13,666,667 "
"Gardner, Brett",lf,7.072,"$13,500,000 "
"Santana, Ervin",rhp-s,10.101,"$13,500,000 "
"McCutchen, Andrew",cf,6.123,"$13,208,333 "
"Harrison, Matt",lhp-s,7.083,"$13,200,000 "
"Pedroia, Dustin",2b,9.041,"$13,125,000 "
"Buchholz, Clay",rhp-s,7.059,"$13,000,000 "
"Headley, Chase",3b,7.123,"$13,000,000 "
"Jackson, Edwin",rhp-s,10.064,"$13,000,000 "
"Jimenez, Ubaldo",rhp-s,8.087,"$13,000,000 "
"Phillips, Brandon",2b,11.022,"$13,000,000 "
"Kazmir, Scott",lhp-s,9.119,"$12,666,667 "
"Bruce, Jay",rf,7.125,"$12,541,667 "
"Chen, Wei-Yin",lhp-s,4.000,"$12,500,000 "
"De La Rosa, Jorge",lhp-s,11.015,"$12,500,000 "
"Garza, Matt",rhp-s,8.149,"$12,500,000 "
"Hardy, J.J.",ss,10.164,"$12,500,000 "
"McCarthy, Brandon",rhp-s,9.122,"$12,500,000 "
"Peralta, Jhonny",ss,11.118,"$12,500,000 "
"Freeman, Freddie",1b,5.033,"$12,359,375 "
"Gonzalez, Gio",lhp-s,6.162,"$12,100,000 "
"Longoria, Evan",3b,7.170,"$12,100,000 "
"Dickey, R.A.",rhp-s,10.007,"$12,000,000 "
"Gordon, Alex",lf,8.092,"$12,000,000 "
"Hill, Aaron",2b,10.136,"$12,000,000 "
"Leake, Mike",rhp-s,6.000,"$12,000,000 "
"Nolasco, Ricky",rhp-s,9.142,"$12,000,000 "
"Abreu, Jose",1b,2.000,"$11,666,667 "
"Butler, Billy",dh-1b,8.102,"$11,666,667 "
"Donaldson, Josh",3b,3.158,"$11,650,000 "
"Estrada, Marco",rhp-s,6.035,"$11,500,000 "
"Garcia, Jaime",lhp-s,7.047,"$11,500,000 "
"Chapman, Aroldis",lhp-c,5.034,"$11,325,000 "
"Castillo, Rusney",of,0.115,"$11,271,429 "
"Kimbrel, Craig",rhp-c,5.066,"$11,250,000 "
"Pagan, Angel",lf,9.144,"$11,250,000 "
"Crisp, Covelli",cf,12.158,"$11,000,000 "
"Iwakuma, Hisashi",rhp-s,4.000,"$11,000,000 "
"Markakis, Nick",rf,10.000,"$11,000,000 "
"Papelbon, Jonathan",rhp-c,10.064,"$11,000,000 "
"Prado, Martin",3b,8.105,"$11,000,000 "
"Robertson, David",rhp-c,7.070,"$11,000,000 "
"Samardzija, Jeff",rhp-s,6.028,"$10,800,000 "
"Arrieta, Jake",rhp-s,4.145,"$10,700,000 "
"Jansen, Kenley",rhp-c,5.073,"$10,650,000 "
"Walker, Neil",2b,5.166,"$10,550,000 "
"Zobrist, Ben",2b,8.134,"$10,500,000 "
"Strasburg, Stephen",rhp-s,5.118,"$10,400,000 "
"Darvish, Yu",rhp-s,4.000,"$10,000,000 "
"Encarnacion, Edwin",1b,10.085,"$10,000,000 "
"Happ, J.A.",lhp-s,7.047,"$10,000,000 "
"Holland, Derek",lhp-s,6.120,"$10,000,000 "
"Kendrick, Howie",2b,9.091,"$10,000,000 "
"Bumgarner, Madison",lhp-s,5.127,"$9,950,000 "
"Melancon, Mark",rhp,5.098,"$9,650,000 "
"Ross, Tyson",rhp-s,4.126,"$9,625,000 "
"Volquez, Edinson",rhp-s,8.059,"$9,500,000 "
"Hughes, Phil",rhp-s,8.113,"$9,200,000 "
"Sale, Chris",lhp-s,5.061,"$9,150,000 "
"Trumbo, Mark",rf-1b,5.027,"$9,150,000 "
"Niese, Jon",lhp-s,6.107,"$9,050,000 "
"Craig, Allen",1b-of,,"$9,000,000 "
"Gallardo, Yovani",rhp-s,8.108,"$9,000,000 "
"Gomez, Carlos",cf,8.141,"$9,000,000 "
"Hammel, Jason",rhp-s,8.153,"$9,000,000 "
"Miller, Andrew",lhp,7.062,"$9,000,000 "
"Morales, Kendrys",dh-1b,7.170,"$9,000,000 "
"Romo, Sergio",rhp,7.097,"$9,000,000 "
"Stanton, Giancarlo",rf,5.118,"$9,000,000 "
"Uehara, Koji",rhp-c,7.000,"$9,000,000 "
"Aybar, Erick",ss,9.086,"$8,750,000 "
"Olivera, Hector",2b-3b,0.034,"$8,666,666 "
"Morse, Michael",1b-lf,8.114,"$8,500,000 "
"Ruiz, Carlos",c,9.069,"$8,500,000 "
"Vargas, Jason",lhp-s,8.114,"$8,500,000 "
"Santana, Carlos",dh-1b,5.115,"$8,450,000 "
"Storen, Drew",rhp,5.140,"$8,375,000 "
"Cabrera, Asdrubal",ss-2b,8.027,"$8,250,000 "
"Frazier, Todd",3b,4.071,"$8,250,000 "
"Hosmer, Eric",1b,4.146,"$8,250,000 "
"Moss, Brandon",1b,5.160,"$8,250,000 "
"Maybin, Cameron",cf,6.073,"$8,100,000 "
"Benoit, Joaquin",rhp,13.040,"$8,000,000 "
"Davis, Wade",rhp-c,6.032,"$8,000,000 "
"Desmond, Ian",lf-ss,6.027,"$8,000,000 "
"Feldman, Scott",rhp-s,9.091,"$8,000,000 "
"Fowler, Dexter",cf,6.168,"$8,000,000 "
"Lind, Adam",1b-dh,8.058,"$8,000,000 "
"Morton, Charlie",rhp-s,7.010,"$8,000,000 "
"Murphy, Daniel",2b,6.109,"$8,000,000 "
"Parra, Gerardo",rf,6.145,"$8,000,000 "
"Pelfrey, Mike",rhp-s,8.122,"$8,000,000 "
"Seager, Kyle",3b,4.085,"$8,000,000 "
"Street, Huston",rhp-c,11.000,"$8,000,000 "
"Castro, Starlin",2b,5.150,"$7,857,142 "
"Ryu, Hyun-Jin",lhp-s,3.000,"$7,833,333 "
"Infante, Omar",2b,12.120,"$7,750,000 "
"Guerrero, Alexander",2b,1.031,"$7,500,000 "
"Johnson, Chris",3b,5.144,"$7,500,000 "
"Kennedy, Ian",rhp-s,6.124,"$7,500,000 "
"Lowrie, Jed",ss,7.111,"$7,500,000 "
"Lynn, Lance",rhp-s,4.119,"$7,500,000 "
"Rodriguez, Francisco",rhp-c,12.115,"$7,500,000 "
"Tomas, Yasmany",lf,1.000,"$7,500,000 "
"Brantley, Michael",lf,5.131,"$7,375,000 "
"Colon, Bartolo",rhp-s,17.061,"$7,250,000 "
"Keuchel, Dallas",lhp-s,3.089,"$7,250,000 "
"Plouffe, Trevor",3b,4.162,"$7,250,000 "
"Puig, Yasiel",rf,2.119,"$7,214,286 "
"Cashner, Andrew",rhp-s,5.126,"$7,150,000 "
"Escobar, Yunel",2b-ss,8.121,"$7,000,000 "
"Fister, Doug",rhp-s,6.058,"$7,000,000 "
"Hellickson, Jeremy",rhp-s,5.045,"$7,000,000 "
"Napoli, Mike",1b,9.151,"$7,000,000 "
"Soria, Joakim",rhp,9.000,"$7,000,000 "
"Utley, Chase",2b,12.027,"$7,000,000 "
"Jay, Jon",cf,5.134,"$6,850,000 "
"Britton, Zach",lhp,3.158,"$6,750,000 "
"Gregerson, Luke",rhp-c,7.000,"$6,750,000 "
"Martinez, J.D.",rf,4.036,"$6,750,000 "
"Smith, Seth",lf-rf,7.119,"$6,750,000 "
"Duda, Lucas",1b,4.137,"$6,725,000 "
"Madson, Ryan",rhp,10.155,"$6,666,667 "
"Reddick, Josh",rf,5.050,"$6,575,000 "
"Cain, Lorenzo",cf,4.074,"$6,500,000 "
"Carpenter, Matt",3b,4.012,"$6,500,000 "
"Casilla, Santiago",rhp-c,8.148,"$6,500,000 "
"Neshek, Pat",rhp,7.159,"$6,500,000 "
"Young, Chris",rf,9.039,"$6,500,000 "
"Richards, Garrett",rhp-s,3.148,"$6,425,000 "
"Perkins, Glen",lhp-c,8.010,"$6,300,000 "
"Howell, J.P.",lhp,9.007,"$6,250,000 "
"Logan, Boone",lhp,8.140,"$6,250,000 "
"Revere, Ben",cf,4.149,"$6,250,000 "
"Tillman, Chris",rhp-s,4.113,"$6,225,000 "
"Belt, Brandon",1b,4.128,"$6,200,000 "
"Wood, Travis",lhp,5.004,"$6,170,000 "
"Kipnis, Jason",2b,4.069,"$6,166,667 "
"Valbuena, Luis",3b,5.148,"$6,125,000 "
"Clippard, Tyler",rhp,6.148,"$6,100,000 "
"Crawford, Brandon",ss,4.094,"$6,000,000 "
"Hill, Rich",lhp-s,6.127,"$6,000,000 "
"Lewis, Colby",rhp-s,9.132,"$6,000,000 "
"Miley, Wade",lhp-s,4.044,"$6,000,000 "
"O'Day, Darren",rhp,7.103,"$6,000,000 "
"Simmons, Andrelton",ss,3.125,"$6,000,000 "
"Sipp, Tony",lhp,6.100,"$6,000,000 "
"Suzuki, Kurt",c,8.113,"$6,000,000 "
"Goldschmidt, Paul",1b,4.059,"$5,850,000 "
"Alvarez, Pedro",1b,5.085,"$5,750,000 "
"De Aza, Alejandro",cf-lf,6.139,"$5,750,000 "
"Moreland, Mitch",dh-1b,5.067,"$5,700,000 "
"Eovaldi, Nate",rhp-s,4.013,"$5,600,000 "
"Moustakas, Mike",3b,4.111,"$5,600,000 "
"Rosenthal, Trevor",rhp-c,3.058,"$5,600,000 "
"Aoki, Nori",rf,4.000,"$5,500,000 "
"Hochevar, Luke",rhp,7.151,"$5,500,000 "
"Lowe, Mark",rhp,7.159,"$5,500,000 "
"Medlen, Kris",rhp-s,6.137,"$5,500,000 "
"Ziegler, Brad",rhp-c,7.122,"$5,500,000 "
"Quintana, Jose",lhp-s,3.133,"$5,400,000 "
"Bastardo, Antonio",lhp,6.054,"$5,375,000 "
"Ramos, Wilson",c,5.047,"$5,350,000 "
"Jepsen, Kevin",rhp,5.163,"$5,312,500 "
"Reed, Addison",rhp,4.001,"$5,300,000 "
"Rizzo, Anthony",1b,3.168,"$5,285,714 "
"Davis, Rajai",lf,8.167,"$5,250,000 "
"Escobar, Alcides",ss,6.082,"$5,250,000 "
"Harrison, Josh",3b-ss,4.033,"$5,250,000 "
"Smith, Joe",rhp,8.091,"$5,250,000 "
"Moore, Matt",lhp-s,4.000,"$5,100,000 "
"Turner, Justin",3b,5.045,"$5,100,000 "
"Mesoraco, Devin",c,4.028,"$5,025,000 "
"Arenado, Nolan",3b,2.155,"$5,000,000 "
"Castro, Jason",c,5.104,"$5,000,000 "
"Duke, Zach",lhp,9.054,"$5,000,000 "
"Harper, Bryce",rf,3.159,"$5,000,000 "
"Jackson, Austin",cf,6.000,"$5,000,000 "
"Lopez, Javier",lhp,10.167,"$5,000,000 "
"Machado, Manny",3b,3.056,"$5,000,000 "
"Motte, Jason",rhp-c,7.027,"$5,000,000 "
"Santiago, Hector",lhp-s,4.016,"$5,000,000 "
"Span, Denard",cf,7.111,"$5,000,000 "
"Coghlan, Chris",lf,5.148,"$4,800,000 "
"McGee, Jake",lhp,4.127,"$4,800,000 "
"Pearce, Steve",1b-lf,6.116,"$4,750,000 "
"Kluber, Corey",rhp-s,3.074,"$4,700,000 "
"Axford, John",rhp,5.170,"$4,500,000 "
"Carrasco, Carlos",rhp-s,4.147,"$4,500,000 "
"Ellis, A.J.",c,5.151,"$4,500,000 "
"Milone, Tom",lhp-s,3.143,"$4,500,000 "
"Strop, Pedro",rhp,4.156,"$4,400,000 "
"Lucroy, Jonathan",c,5.136,"$4,350,000 "
"Miller, Shelby",rhp-s,3.030,"$4,350,000 "
"Harvey, Matt",rhp-s,3.072,"$4,325,000 "
"Pineda, Michael",rhp-s,4.099,"$4,300,000 "
"Alvarez, Henderson",rhp-s,4.051,"$4,250,000 "
"Cahill, Trevor",rhp,6.098,"$4,250,000 "
"Iannetta, Chris",c,9.013,"$4,250,000 "
"Duffy, Danny",lhp-s,4.085,"$4,225,000 "
"Morrison, Logan",1b,5.069,"$4,200,000 "
"Rondon, Hector",rhp-c,3.000,"$4,200,000 "
"Allen, Cody",rhp,3.076,"$4,150,000 "
"Martin, Leonys",cf,3.078,"$4,150,000 "
"Lawrie, Brett",2b,4.055,"$4,125,000 "
"Familia, Jeurys",rhp-c,3.030,"$4,100,000 "
"Nova, Ivan",rhp-s,5.024,"$4,100,000 "
"Blanton, Joe",rhp,9.158,"$4,000,000 "
"Blevins, Jerry",lhp,6.081,"$4,000,000 "
"Chavez, Jesse",rhp,5.108,"$4,000,000 "
"Cishek, Steve",rhp-c,4.143,"$4,000,000 "
"Cobb, Alex",rhp-s,4.061,"$4,000,000 "
"Gyorko, Jedd",2b,2.164,"$4,000,000 "
"Jaso, John",1b,6.032,"$4,000,000 "
"Kelley, Shawn",rhp,6.128,"$4,000,000 "
"Navarro, Dioner",c,9.091,"$4,000,000 "
"Uribe, Juan",3b,14.089,"$4,000,000 "
"Blanco, Gregor",cf-lf,5.164,"$3,900,000 "
"Feliz, Neftali",rhp,5.151,"$3,900,000 "
"Hernandez, David",rhp,6.095,"$3,900,000 "
"Matusz, Brian",lhp,5.156,"$3,900,000 "
"Smoak, Justin",1b,5.077,"$3,900,000 "
"Cecil, Brett",lhp,5.152,"$3,800,000 "
"Broxton, Jonathan",rhp,10.020,"$3,750,000 "
"Smyly, Drew",lhp-s,3.154,"$3,750,000 "
"Castillo, Welington",c,4.009,"$3,700,000 "
"Hanigan, Ryan",c,7.077,"$3,700,000 "
"Altuve, Jose",2b,4.072,"$3,687,500 "
"Walden, Jordan",rhp,5.043,"$3,675,000 "
"Soler, Jorge",lf-rf,1.033,"$3,666,667 "
"Blackmon, Charlie",of,3.102,"$3,500,000 "
"Cervelli, Francisco",c,5.146,"$3,500,000 "
"Grilli, Jason",rhp,9.016,"$3,500,000 "
"Koehler, Tom",rhp-s,3.016,"$3,500,000 "
"Pollock, A.J.",cf,3.052,"$3,500,000 "
"Teheran, Julio",rhp-s,3.062,"$3,466,666 "
"Dunn, Michael",lhp,5.079,"$3,450,000 "
"Watson, Tony",lhp,4.101,"$3,450,000 "
"Calhoun, Kole",rf,2.130,"$3,400,000 "
"Ramos, A.J.",rhp-c,3.030,"$3,400,000 "
"Tazawa, Junichi",rhp,5.086,"$3,375,000 "
"Marte, Starling",lf,3.070,"$3,333,333 "
"Gattis, Evan",dh-lf,3.000,"$3,300,000 "
"Gordon, Dee",2b,3.154,"$3,300,000 "
"Jennings, Desmond",lf,4.101,"$3,300,000 "
"Tolleson, Shawn",rhp-c,3.122,"$3,275,000 "
"Iglesias, Raisel",rhp-s,0.154,"$3,214,286 "
"Ackley, Dustin",lf,4.087,"$3,200,000 "
"Hundley, Nick",c,7.059,"$3,150,000 "
"Perez, Martin",lhp-s,3.038,"$3,150,000 "
"Valencia, Danny",3b,4.064,"$3,150,000 "
"Maeda, Kenta",rhp-s,0.000,"$3,125,000 "
"Wilhelmsen, Tom",rhp,4.091,"$3,100,000 "
"Locke, Jeff",lhp-s,3.020,"$3,025,000 "
"Dozier, Brian",2b,3.100,"$3,000,000 "
"Drew, Stephen",2b-ss,9.038,"$3,000,000 "
"Freese, David",3b,6.028,"$3,000,000 "
"Latos, Mat",rhp-s,6.079,"$3,000,000 "
"LeMahieu, D.J.",2b,3.128,"$3,000,000 "
"Nicasio, Juan",rhp,4.084,"$3,000,000 "
"Perez, Oliver",lhp,11.058,"$3,000,000 "
"Pierzynski, A.J.",c,15.100,"$3,000,000 "
"Ramirez, Alexei",ss,8.000,"$3,000,000 "
"Lyles, Jordan",rhp-s,4.060,"$2,975,000 "
"Rzepczynski, Marc",lhp,5.132,"$2,950,000 "
"Cozart, Zack",ss,4.084,"$2,925,000 "
"Norris, Derek",c,3.102,"$2,925,000 "
"Archer, Chris",rhp-s,2.156,"$2,916,667 "
"Saunders, Michael",lf,5.138,"$2,900,000 "
"Espinosa, Danny",ss,4.113,"$2,875,000 "
"Fernandez, Jose",rhp-s,3.000,"$2,800,000 "
"Grandal, Yasmani",c,3.115,"$2,800,000 "
"Kim, Hyun-soo",lf-1b,0.000,"$2,800,000 "
"Peralta, Wily",rhp-s,3.033,"$2,800,000 "
"Rendon, Anthony",3b,2.130,"$2,800,000 "
"Soto, Geovany",c,8.096,"$2,800,000 "
"Eaton, Adam",cf,3.030,"$2,750,000 "
"Park, Byung Ho",dh-1b,0.000,"$2,750,000 "
"Shaw, Bryan",rhp,4.081,"$2,750,000 "
"Chisenhall, Lonnie",3b,3.158,"$2,725,000 "
"Hudson, Daniel",rhp,5.117,"$2,700,000 "
"Alonso, Yonder",1b,4.116,"$2,650,000 "
"Hechavarria, Adeiny",ss,3.060,"$2,625,000 "
"Kelly, Joe",rhp-s,3.101,"$2,600,000 "
"Reynolds, Mark",1b,8.138,"$2,600,000 "
"Segura, Jean",ss,3.065,"$2,600,000 "
"Worley, Vance",rhp-s,3.112,"$2,600,000 "
"Gomes, Yan",c,3.083,"$2,583,333 "
"Herrera, Kelvin",rhp,3.157,"$2,550,000 "
"Corbin, Patrick",lhp-s,3.105,"$2,525,000 "
"Avila, Alex",c,6.061,"$2,500,000 "
"Carter, Chris",dh-1b,3.159,"$2,500,000 "
"Johnson, Jim",rhp-c,7.161,"$2,500,000 "
"Kang, Jung-Ho",ss,1.000,"$2,500,000 "
"Lagares, Juan",cf,2.160,"$2,500,000 "
"Norris, Bud",rhp-s,6.068,"$2,500,000 "
"Oh, Seung-hwan",rhp,0.000,"$2,500,000 "
"Pena, Brayan",c,8.081,"$2,500,000 "
"Petit, Yusmeiro",rhp,5.016,"$2,500,000 "
"Phelps, David",rhp-s,3.156,"$2,500,000 "
"Rodriguez, Sean",2b-3b,6.133,"$2,500,000 "
"Ross, David",c,13.001,"$2,500,000 "
"Gregorius, Didi",ss,2.159,"$2,425,000 "
"Salas, Fernando",rhp,5.048,"$2,400,000 "
"Ramirez, Erasmo",rhp-s,2.158,"$2,375,000 "
"De La Rosa, Rubby",rhp-s,3.097,"$2,350,000 "
"Fien, Casey",rhp,3.143,"$2,275,000 "
"Forsythe, Logan",2b,4.113,"$2,250,000 "
"Qualls, Chad",rhp-c,11.058,"$2,250,000 "
"Tomlin, Josh",rhp,5.033,"$2,250,000 "
"Hughes, Jared",rhp,3.162,"$2,175,000 "
"Escobar, Eduardo",ss,3.128,"$2,150,000 "
"Descalso, Daniel",3b-ss,5.016,"$2,100,000 "
"Garcia, Avisail",rf,2.167,"$2,100,000 "
"Iglesias, Jose",ss,3.036,"$2,100,000 "
"Mercer, Jordy",ss,3.095,"$2,075,000 "
"Albers, Matt",rhp,8.141,"$2,000,000 "
"Aviles, Mike",inf,7.091,"$2,000,000 "
"Bourjos, Peter",rf,5.062,"$2,000,000 "
"Doubront, Felix",lhp-s,4.041,"$2,000,000 "
"Flowers, Tyler",c,4.148,"$2,000,000 "
"Galvis, Freddy",ss,3.021,"$2,000,000 "
"Gee, Dillon",rhp-s,4.108,"$2,000,000 "
"Gonzalez, Marwin",2b-ss,3.133,"$2,000,000 "
"Hunter, Tommy",rhp,6.066,"$2,000,000 "
"Johnson, Kelly",3b,10.127,"$2,000,000 "
"Minor, Mike",lhp-s,4.138,"$2,000,000 "
"Morales, Franklin",lhp,7.007,"$2,000,000 "
"Ogando, Alexi",rhp,5.114,"$2,000,000 "
"Perez, Salvador",c,4.050,"$2,000,000 "
"Richard, Clayton",lhp,5.163,"$2,000,000 "
"Rollins, Jimmy",ss,15.015,"$2,000,000 "
"Sierra, Yaisel",rhp,0.000,"$2,000,000 "
"Simon, Alfredo",rhp-s,6.142,"$2,000,000 "
"Suzuki, Ichiro",rf,15.000,"$2,000,000 "
"Vogelsong, Ryan",rhp-s,9.020,"$2,000,000 "
"Fuld, Sam",of,5.140,"$1,925,000 "
"Collmenter, Josh",rhp,5.000,"$1,850,000 "
"Bundy, Dylan",rhp,0.026,"$1,800,000 "
"O'Flaherty, Eric",lhp,8.062,"$1,750,000 "
"Dyson, Jarrod",cf,4.088,"$1,725,000 "
"Warren, Adam",rhp-s,3.036,"$1,700,000 "
"Bauer, Trevor",rhp-s,1.158,"$1,697,500 "
"Adams, Matt",1b,3.033,"$1,650,000 "
"Ruggiano, Justin",cf,4.123,"$1,650,000 "
"Furbush, Charlie",lhp,4.121,"$1,600,000 "
"Rodney, Fernando",rhp-c,12.137,"$1,600,000 "
"Thornton, Matt",lhp,11.129,"$1,600,000 "
"Doolittle, Sean",lhp-c,3.122,"$1,580,000 "
"Chirinos, Robinson",c,3.103,"$1,550,000 "
"Wilson, Justin",lhp,3.035,"$1,525,000 "
"Barnette, Tony",rhp,0.000,"$1,500,000 "
"Breslow, Craig",lhp,8.088,"$1,500,000 "
"Capuano, Chris",lhp-s,10.152,"$1,500,000 "
"Conger, Hank",c,4.051,"$1,500,000 "
"Flaherty, Ryan",3b-ss,4.000,"$1,500,000 "
"Gutierrez, Franklin",lf,8.011,"$1,500,000 "
"Mathis, Jeff",c,9.012,"$1,500,000 "
"Pennington, Cliff",ss-2b,6.114,"$1,500,000 "
"Raburn, Ryan",lf-rf,8.109,"$1,500,000 "
"Russell, James",lhp,5.122,"$1,500,000 "
"Sogard, Eric",2b,4.064,"$1,500,000 "
"Tejada, Ruben",ss,5.000,"$1,500,000 "
"Villanueva, Carlos",rhp,9.030,"$1,500,000 "
"Weeks, Rickie",2b-of,10.036,"$1,500,000 "
"Collins, Tim",lhp,4.097,"$1,475,000 "
"Nunez, Eduardo",ss-2b,4.090,"$1,475,000 "
"Smith, Will",lhp,2.155,"$1,475,000 "
"Blanco, Andres",ss,5.007,"$1,450,000 "
"Gomez, Jeanmar",rhp,4.063,"$1,400,000 "
"Hoover, J.J.",rhp-c,3.102,"$1,400,000 "
"Maness, Seth",rhp,2.154,"$1,400,000 "
"Avilan, Luis",lhp,3.077,"$1,390,000 "
"Lobaton, Jose",c,4.138,"$1,387,500 "
"Nava, Daniel",lf,4.045,"$1,375,000 "
"Amarista, Alexi",2b-ss,4.053,"$1,350,000 "
"Morris, Bryan",rhp,3.011,"$1,350,000 "
"Pomeranz, Drew",lhp-s,3.013,"$1,350,000 "
"Stewart, Chris",c,5.091,"$1,350,000 "
"McAllister, Zach",rhp-s,3.077,"$1,300,000 "
"Ottavino, Adam",rhp,4.087,"$1,300,000 "
"Reimold, Nolan",lf,5.113,"$1,300,000 "
"Toscano, Dian",of,,"$1,300,000 "
"Delgado, Randall",rhp,3.100,"$1,275,000 "
"Grimm, Justin",rhp,2.170,"$1,275,000 "
"Diekman, Jake",lhp,3.050,"$1,255,000 "
"Beckham, Gordon",2b,6.123,"$1,250,000 "
"Belisle, Matt",rhp,10.019,"$1,250,000 "
"Bonifacio, Emilio",2b-3b,,"$1,250,000 "
"Brach, Brad",rhp,3.063,"$1,250,000 "
"Heisey, Chris",of,5.042,"$1,250,000 "
"Peralta, Joel",rhp,9.132,"$1,250,000 "
"Ross, Robbie",lhp,3.100,"$1,250,000 "
"Wong, Kolten",2b,2.045,"$1,250,000 "
"Van Slyke, Scott",of-1b,2.151,"$1,225,000 "
"Narveson, Chris",lhp,4.073,"$1,200,000 "
"Ventura, Yordano",rhp-s,2.013,"$1,200,000 "
"Guyer, Brandon",of,3.066,"$1,185,000 "
"Butera, Drew",c,5.018,"$1,162,500 "
"Kontos, George",rhp,2.171,"$1,150,000 "
"Maldonado, Martin",c,3.156,"$1,125,000 "
"Cook, Ryan",rhp,3.086,"$1,100,000 "
"Hatcher, Chris",rhp,2.146,"$1,065,000 "
"Barney, Darwin",2b,4.085,"$1,050,000 "
"Loup, Aaron",lhp,3.083,"$1,050,000 "
"Rodriguez, Fernando",rhp,4.032,"$1,050,000 "
"Barnes, Brandon",lf-cf,3.024,"$1,000,000 "
"Byrd, Marlon",lf,11.115,"$1,000,000 "
