Player,Pos'n,MLS,Salary 
"Kershaw, Clayton",lhp-s,7.105,"$34,571,429 "
"Greinke, Zack",rhp-s,11.057,"$34,000,000 "
"Price, David",lhp-s,6.164,"$30,000,000 "
"Hamilton, Josh",lf,9.000,"$28,410,000 "
"Cabrera, Miguel",1b,12.101,"$28,000,000 "
"Verlander, Justin",rhp-s,10.002,"$28,000,000 "
"Cespedes, Yoenis",lf,4.000,"$27,500,000 "
"Hernandez, Felix",rhp-s,10.060,"$25,857,143 "
"Howard, Ryan",1b,10.145,"$25,000,000 "
"Lester, Jon",lhp-s,9.075,"$25,000,000 "
"Pujols, Albert",1b,15.000,"$25,000,000 "
"Sabathia, CC",lhp-s,15.000,"$25,000,000 "
"Cano, Robinson",2b,10.153,"$24,000,000 "
"Fielder, Prince",1b,10.068,"$24,000,000 "
"Hamels, Cole",lhp-s,9.143,"$23,500,000 "
"Teixeira, Mark",1b,13.000,"$23,125,000 "
"Mauer, Joe",1b,12.000,"$23,000,000 "
"Ramirez, Hanley",lf,10.014,"$22,750,000 "
"Scherzer, Max",rhp-s,7.079,"$22,142,857 "
"Upton, Justin",lf,8.060,"$22,125,000 "
"Reyes, Jose",ss,12.111,"$22,000,000 "
"Tanaka, Masahiro",rhp-s,2.000,"$22,000,000 "
"Gonzalez, Adrian",1b,10.108,"$21,857,143 "
"Kemp, Matt",rf,9.049,"$21,750,000 "
"Heyward, Jason",rf,6.000,"$21,666,667 "
"Crawford, Carl",lf,13.072,"$21,607,143 "
"Werth, Jayson",lf,12.102,"$21,571,429 "
"Ellsbury, Jacoby",cf,8.037,"$21,142,857 "
"Davis, Chris",1b,6.061,"$21,118,782 "
"Rodriguez, Alex",3b,21.011,"$21,000,000 "
"Shields, James",rhp-s,9.125,"$21,000,000 "
"Cain, Matt",rhp-s,10.038,"$20,833,333 "
"Posey, Buster",c,5.161,"$20,777,777 "
"Wilson, C.J.",lhp-s,10.055,"$20,500,000 "
"Weaver, Jered",rhp-s,9.129,"$20,200,000 "
"Porcello, Rick",rhp-s,6.170,"$20,125,000 "
"Braun, Ryan",lf,8.129,"$20,000,000 "
"Choo, Shin-Soo",lf,8.119,"$20,000,000 "
"Tulowitzki, Troy",ss,9.033,"$20,000,000 "
"Votto, Joey",1b,8.027,"$20,000,000 "
"Wright, David",3b,11.075,"$20,000,000 "
"Wainwright, Adam",rhp-s,10.027,"$19,500,000 "
"Pence, Hunter",rf,8.156,"$18,500,000 "
"Bailey, Homer",rhp-s,7.017,"$18,000,000 "
"Beltre, Adrian",3b,17.096,"$18,000,000 "
"Ethier, Andre",cf,9.153,"$18,000,000 "
"Martinez, Victor",dh,12.114,"$18,000,000 "
"Zimmermann, Jordan",rhp-s,6.154,"$18,000,000 "
"Sandoval, Pablo",3b,7.047,"$17,600,000 "
"Cueto, Johnny",rhp-s,8.000,"$17,500,000 "
"Gonzalez, Carlos",cf,7.059,"$17,428,571 "
"Holliday, Matt",lf,12.000,"$17,000,000 "
"McCann, Brian",c,10.117,"$17,000,000 "
"Sanchez, Anibal",rhp-s,9.099,"$16,800,000 "
"Jones, Adam",cf,8.139,"$16,333,333 "
"Trout, Mike",cf,4.070,"$16,083,333 "
"Upton, Melvin Jr.",lf,9.126,"$16,050,000 "
