Player,Pos'n,MLS,Salary, 
"Rusin, Chris",lhp-s,3.092,"$1,287,500 ",,
"Ahmed, Nick",ss,3.054,"$1,275,000 ",,
"Ellis, A.J.",c,7.151,"$1,250,000 ",,
"Jepsen, Kevin",rhp,6.163,"$1,250,000 ",,
"Grimm, Justin",rhp,4.153,"$1,250,000 ",,
"Joseph, Caleb",c,3.145,"$1,250,000 ",,
"Gosselin, Phil",2b,3.006,"$1,250,000 ",,
"Valencia, Danny",1b,6.118,"$1,200,000 ",,
"Van Slyke, Scott",1b-of,4.022,"$1,200,000 ",,
"Lyons, Tyler",lhp,3.070,"$1,200,000 ",,
"Garcia, Luis",rhp,3.006,"$1,200,000 ",,
"Kela, Keone",rhp,2.168,"$1,200,000 ",,
"Chafin, Andrew",lhp,3.020,"$1,195,000 ",,
"Rojas, Miguel",ss,3.043,"$1,180,000 ",,
"Garcia, Leury",cf-2b,3.025,"$1,175,000 ",,
"DeJong, Paul",ss,0.124,"$1,166,667 ",,
"Barraclough, Kyle",rhp,2.059,"$1,113,000 ",,
"Otero, Danny",rhp,4.124,"$1,100,000 ",,
"Brothers, Rex",lhp,4.078,"$1,100,000 ",,
"Romine, Austin",c,4.045,"$1,100,000 ",,
"Wright, Steven",rhp-s,3.089,"$1,100,000 ",,
"Bedrosian, Cam",rhp,2.153,"$1,100,000 ",,
"Despaigne, Odrisamer",rhp,2.075,"$1,090,000 ",,
"Steckenrider, Drew",rhp,0.094,"$1,090,000 ",,
"O'Grady, Chris",lhp,0.087,"$1,090,000 ",,
"Smith, Caleb",lhp,0.062,"$1,090,000 ",,
"Peters, Dillon",lhp,0.031,"$1,090,000 ",,
"Graves, Brett",rhp,0.000,"$1,090,000 ",,
"Hernandez, Elieser",rhp,0.000,"$1,090,000 ",,
"Lee, Braxton",of,0.000,"$1,090,000 ",,
"Leone, Dominic",rhp,2.119,"$1,085,000 ",,
"Freeman, Sam",lhp,3.066,"$1,075,000 ",,
"Yates, Kirby",rhp,3.022,"$1,062,500 ",,
"Romine, Andrew",ss-2b,5.049,"$1,050,000 ",,
"Profar, Jurickson",lf,3.165,"$1,050,000 ",,
"Farquhar, Danny",rhp,3.135,"$1,050,000 ",,
"Alvarez, Jose",lhp,3.035,"$1,050,000 ",,
"Benoit, Joaquin",rhp,15.040,"$1,000,000 ",,
"Utley, Chase",2b,14.027,"$1,000,000 ",,
"Lincecum, Tim",rhp-s,9.032,"$1,000,000 ",,
"Boyer, Blaine",rhp,8.025,"$1,000,000 ",,
"Blanco, Gregor",cf-lf,7.142,"$1,000,000 ",,
"Chavez, Jesse",rhp-s,7.108,"$1,000,000 ",,
"Bourjos, Peter",cf,7.062,"$1,000,000 ",,
"Alvarez, Pedro",1b,6.116,"$1,000,000 ",,
"Adrianza, Ehire",2b-ss,3.131,"$1,000,000 ",,
"Goins, Ryan",ss,3.106,"$1,000,000 ",,
"Holaday, Bryan",c,3.056,"$1,000,000 ",,
"Correa, Carlos",ss,2.119,"$1,000,000 ",,
"Marte, Ketel",2b,1.162,"$1,000,000 ",,
"Anderson, Tim",ss,1.115,"$1,000,000 ",,
"Kingery, Scott",2b,0.000,"$1,000,000 ",,
"La Stella, Tommy",2b-3b,3.057,"$950,000 ",,
"Szczur, Matt",of,2.134,"$950,000 ",,
"Duffy, Matt",ss,3.059,"$930,000 ",,
"Sucre, Jesus",c,3.137,"$925,000 ",,
"Phegley, Josh",c,3.114,"$905,000 ",,
"Gentry, Craig",cf-rf,6.065,"$900,000 ",,
"Rua, Ryan",lf-rf,2.129,"$870,000 ",,
"DeSclafani, Anthony",rhp-s,3.062,"$860,000 ",,
"McFarland, T.J.",lhp,3.164,"$850,000 ",,
"Smith, Carson",rhp,3.028,"$850,000 ",,
"Choi, Ji-Man",1b,0.148,"$850,000 ",,
"Shreve, Chasen",lhp,2.167,"$825,000 ",,
"Lindgren, Jacob",lhp,1.134,"$820,000 ",,
"Whitley, Chase",rhp,3.099,"$800,000 ",,
"Heaney, Andrew",lhp-s,2.150,"$800,000 ",,
"Hardy, Blaine",lhp,2.130,"$795,000 ",,
"Heredia, Guillermo",of,1.054,"$782,000 ",,
"Smolinski, Jake",cf,3.016,"$775,000 ",,
"Suzuki, Ichiro",rf-lf,17.000,"$750,000 ",,
"Lyles, Jordan",rhp,6.002,"$750,000 ",,
"Flaherty, Ryan",3b-ss,6.000,"$750,000 ",,
"Shuck, J.B.",lf,3.080,"$750,000 ",,
"Roe, Chaz",rhp,2.094,"$720,000 ",,
"Quackenbush, Kevin",rhp,3.015,"$690,000 ",,
"Baez, Javier",2b,2.089,"$657,000 ",,
"LeBlanc, Wade",lhp,4.131,"$650,000 ",,
"Erlin, Robbie",lhp,3.078,"$650,000 ",,
"May, Trevor",rhp,3.051,"$650,000 ",,
"Pena, Francisco",c,1.009,"$650,000 ",,
"Goodrum, Niko",rf,0.031,"$650,000 ",,
"Duvall, Adam",lf,2.096,"$645,000 ",,
"Garcia, Yimi",rhp,3.004,"$630,000 ",,
"Lindor, Francisco",ss,2.113,"$623,200 ",,
"Judge, Aaron",rf-dh,1.051,"$622,300 ",,
"Drury, Brandon",3b,2.034,"$621,900 ",,
"Benintendi, Andrew",lf,1.062,"$620,500 ",,
"Sanchez, Gary",c,1.086,"$620,400 ",,
"Torreyes, Ronnie",2b,2.022,"$615,500 ",,
"Montgomery, Mike",lhp-s,2.089,"$611,250 ",,
"Winkler, Daniel",rhp,3.000,"$610,000 ",,
"Rosscup, Zac",lhp,2.164,"$610,000 ",,
"Conforto, Michael",lf-rf,2.043,"$605,094 ",,
"Barnes, Matt",rhp,2.110,"$605,000 ",,
"Seager, Corey",ss,2.032,"$605,000 ",,
"Severino, Luis",rhp-s,1.170,"$604,975 ",,
"Schwarber, Kyle",lf-c,2.083,"$604,500 ",,
"Contreras, Willson",c,1.108,"$604,500 ",,
"Rosario, Eddie",lf,2.120,"$602,500 ",,
"Sano, Miguel",rf,2.095,"$602,500 ",,
"Florimon Jr., Pedro",ss,2.126,"$600,000 ",,
"Centeno, Juan",c,1.140,"$600,000 ",,
"Devenski, Chris",rhp,2.000,"$599,200 ",,
"Bregman, Alex",3b,1.070,"$599,000 ",,
"Edwards, Carl (C.J.)",rhp,1.134,"$594,000 ",,
"Kepler, Max",rf,1.152,"$587,500 ",,
"Bellinger, Cody",1b-of,0.160,"$585,000 ",,
"LaMarre, Ryan",cf,0.076,"$585,000 ",,
"Almora, Albert",cf,1.073,"$584,500 ",,
"Neris, Hector",rhp,2.104,"$582,500 ",,
"Bird, Greg",1b,2.053,"$582,000 ",,
"Bradley, Archie",rhp,2.112,"$581,900 ",,
"Hembree, Heath",rhp,2.106,"$581,500 ",,
"Montgomery, Jordan",lhp-s,0.153,"$580,450 ",,
"Buxton, Byron",cf,2.064,"$580,000 ",,
"Schebler, Scott",rf,1.132,"$580,000 ",,
"Lopez, Raffy",c,0.130,"$580,000 ",,
"Godley, Zack",rhp-s,1.112,"$579,200 ",,
"Finnegan, Brandon",lhp-s,2.107,"$577,500 ",,
"Turner, Trea",ss,1.135,"$577,200 ",,
"Matz, Steven",lhp-s,2.099,"$577,000 ",,
"Feliz, Michael",rhp,2.038,"$575,500 ",,
"Fulmer, Michael",rhp-s,1.157,"$575,200 ",,
"Moylan, Peter",rhp,8.003,"$575,000 ",,
"Stewart, Chris",c,7.091,"$575,000 ",,
"Culberson, Charlie",inf,2.084,"$575,000 ",,
"Taylor, Chris",cf,2.031,"$575,000 ",,
"Polanco, Jorge",2b,1.105,"$575,000 ",,
"Adams, Lane",rf,0.151,"$575,000 ",,
"Tepera, Ryan",rhp,2.008,"$574,700 ",,
"Hahn, Jesse",rhp,2.067,"$574,000 ",,
"Flynn, Brian",lhp,2.086,"$573,500 ",,
"Cuthbert, Cheslor",3b,2.030,"$573,500 ",,
"Nola, Aaron",rhp-s,2.076,"$573,000 ",,
"Bell, Josh",1b-rf,1.053,"$572,500 ",,
"Santana, Domingo",rf,2.079,"$572,400 ",,
"Davies, Zach",rhp-s,2.020,"$572,000 ",,
"Taillon, Jameson",rhp-s,1.110,"$571,000 ",,
"Frazier, Adam",ss-of,1.101,"$571,000 ",,
"Musgrove, Joe",rhp-s,1.063,"$571,000 ",,
"Diaz, Edwin",rhp-c,1.121,"$570,800 ",,
"Green, Chad",rhp,1.050,"$570,800 ",,
"Butler, Eddie",rhp,1.141,"$570,750 ",,
"Kuhl, Chad",rhp-s,1.079,"$570,500 ",,
"Smoker, Josh",lhp,1.044,"$570,500 ",,
"Pham, Tommy",cf,2.107,"$570,100 ",,
"Davidson, Matt",dh-3b,1.145,"$570,000 ",,
"Peraza, Jose",2b,1.141,"$570,000 ",,
"Berrios, Jose O.",rhp,1.044,"$570,000 ",,
"Happ, Ian",of,0.142,"$570,000 ",,
"Garcia, Greg",ss,2.083,"$569,600 ",,
"Merrifield, Whit",2b,1.096,"$569,500 ",,
"Williams, Trevor",rhp-s,1.027,"$569,500 ",,
"Orlando, Paulo",rf-cf,2.099,"$568,500 ",,
"Claudio, Alex",lhp,2.114,"$568,450 ",,
"Eickhoff, Jerad",rhp-s,2.045,"$568,000 ",,
"Ross, Joe",rhp-s,2.067,"$567,900 ",,
"Hoyt, James",rhp,1.034,"$567,700 ",,
"Shaw, Travis",3b,2.088,"$567,400 ",,
"Schugel, A.J.",rhp,1.096,"$567,000 ",,
"Perdomo, Luis",rhp-s,2.000,"$566,800 ",,
"Givens, Mychal",rhp,2.069,"$566,500 ",,
"Bowman, Matt",rhp,2.000,"$565,900 ",,
"Saladino, Tyler",2b,2.087,"$565,000 ",,
"Romero, Enny",lhp,2.072,"$565,000 ",,
"Ramirez, Jose A.",rhp,1.153,"$565,000 ",,
"Rogers, Taylor",lhp,1.145,"$565,000 ",,
"Tucker, Preston",of,1.095,"$565,000 ",,
"Swanson, Dansby",ss,1.045,"$565,000 ",,
"Blach, Ty",lhp-s,1.032,"$565,000 ",,
"Naquin, Tyler",cf,1.033,"$564,800 ",,
"Devers, Rafael",3b,0.070,"$564,500 ",,
"Lugo, Seth",rhp-s,1.082,"$564,000 ",,
"Mazara, Nomar",rf,2.000,"$563,560 ",,
"Swihart, Blake",c,1.164,"$563,500 ",,
"Gsellman, Robert",rhp-s,1.042,"$562,375 ",,
"Boyd, Matt",lhp-s,1.136,"$562,000 ",,
"Bonifacio, Jorge",rf,0.164,"$561,900 ",,
"Barnes, Danny",rhp,1.027,"$561,600 ",,
"DeShields Jr., Delino",cf-lf,2.116,"$561,500 ",,
"Hernandez, Gorkys",of,2.013,"$561,500 ",,
"Goody, Nick",rhp,1.159,"$561,500 ",,
"Marrero, Deven",ss,1.049,"$561,500 ",,
"Norris, Daniel",lhp-s,2.073,"$561,400 ",,
"Altherr, Aaron",of,2.054,"$561,000 ",,
"Mahtook, Mikie",cf,2.011,"$560,400 ",,
"Martinez, Jose",lf-rf,1.027,"$560,400 ",,
"Solis, Sammy",lhp,2.077,"$560,300 ",,
"Haniger, Mitch",rf,1.048,"$560,200 ",,
"Pina, Manny",c,2.046,"$560,100 ",,
"Tomlinson, Kelby",2b,2.001,"$560,000 ",,
"Gallo, Joey",3b,1.103,"$560,000 ",,
"Narvaez, Omar",c,1.089,"$560,000 ",,
"Smith, Kevan",c,1.043,"$560,000 ",,
"Arcia, Orlando",ss,1.062,"$559,600 ",,
"Healy, Ryon",1b-dh,1.080,"$559,200 ",,
"Frazier, Clint",of,0.093,"$559,200 ",,
"Velasquez, Vincent",rhp-s,2.086,"$559,000 ",,
"Morgan, Adam",lhp,2.017,"$559,000 ",,
"Marte, Jefry",3b-lf,1.146,"$559,000 ",,
"Diaz, Elias",c,1.088,"$559,000 ",,
"Barnes, Jacob",rhp,1.123,"$558,900 ",,
"Austin, Tyler",of,1.029,"$558,600 ",,
"Clevinger, Mike",rhp,1.041,"$558,500 ",,
"Andriese, Matt",rhp-s,2.071,"$558,400 ",,
"Maile, Luke",c,1.099,"$558,400 ",,
"Snell, Blake",lhp-s,1.072,"$558,200 ",,
"Gamel, Ben",of,1.029,"$558,100 ",,
"Montero, Rafael",rhp,2.068,"$558,025 ",,
"Osich, Josh",lhp,2.075,"$558,000 ",,
"Murphy, John Ryan",c,2.043,"$558,000 ",,
"Minaya, Juan",rhp,1.002,"$558,000 ",,
"Infante, Gregory",rhp,0.166,"$558,000 ",,
"Difo, Wilmer",ss,1.110,"$557,900 ",,
"Peralta, Wandy",lhp,1.031,"$557,500 ",,
"Neverauskas, Dovydas",rhp,0.051,"$557,500 ",,
"Plawecki, Kevin",c,1.167,"$557,471 ",,
"Aguilar, Jesus",1b,1.082,"$557,200 ",,
"Stassi, Max",c,1.049,"$557,100 ",,
"Grace, Matt",lhp,1.065,"$557,000 ",,
"Brault, Steven",lhp-s,0.085,"$557,000 ",,
"Margot, Manuel",cf,1.012,"$556,900 ",,
"Mancini, Trey",1b,1.015,"$556,500 ",,
"Suter, Brent",lhp,0.161,"$556,500 ",,
"Glasnow, Tyler",rhp-s,0.158,"$556,500 ",,
"Hader, Josh",lhp,0.115,"$556,500 ",,
"Santana, Edgar",rhp,0.048,"$556,500 ",,
"Gustave, Jandel",rhp,1.036,"$556,400 ",,
"Pirela, Jose",lf,1.096,"$556,200 ",,
"Rivera, T.J.",2b-1b,1.054,"$556,071 ",,
"Bleier, Richard",lhp,1.074,"$556,000 ",,
"Nimmo, Brandon",lf-cf,1.042,"$555,968 ",,
"Bush, Matt",rhp,1.143,"$555,950 ",,
"Lamet, Dinelson",rhp-s,0.130,"$555,700 ",,
"Rea, Colin",rhp,2.055,"$555,600 ",,
"Cole, A.J.",rhp-s,0.152,"$555,300 ",,
"Oberg, Scott",rhp,2.080,"$555,000 ",,
"Anderson, Tyler",lhp-s,2.065,"$555,000 ",,
"Gray, Jon",rhp-s,2.062,"$555,000 ",,
"Dull, Ryan",rhp,2.034,"$555,000 ",,
"Buchter, Ryan",lhp,2.010,"$555,000 ",,
"Story, Trevor",ss,2.000,"$555,000 ",,
"Barnes, Austin",c,1.124,"$555,000 ",,
"Stripling, Ross",rhp,1.112,"$555,000 ",,
"Alexander, Scott",lhp,1.097,"$555,000 ",,
"Garcia, Jarlin",lhp,1.003,"$555,000 ",,
"Gott, Trevor",rhp,0.153,"$555,000 ",,
"Camargo, Johan",2b,0.137,"$555,000 ",,
"Newcomb, Sean",lhp,0.114,"$555,000 ",,
"Faria, Jacob",rhp,0.112,"$555,000 ",,
"Moncada, Yoan",2b-3b,0.106,"$555,000 ",,
"Castillo, Luis",rhp,0.101,"$555,000 ",,
"Hildenberger, Trevor",rhp,0.101,"$555,000 ",,
"Lopez, Reynaldo",rhp,0.096,"$555,000 ",,
"Giolito, Lucas",rhp,0.080,"$555,000 ",,
"Albies, Ozzie",ss,0.062,"$555,000 ",,
"Minter, A.J.",lhp,0.040,"$555,000 ",,
"Carle, Shane",rhp,0.032,"$555,000 ",,
"Gohara, Luiz",lhp,0.027,"$555,000 ",,
"Evans, Phillip",3b-2b,0.024,"$555,000 ",,
"Farmer, Buck",rhp,1.083,"$554,800 ",,
"Tuivailala, Sam",rhp,1.082,"$554,600 ",,
"Fisher, Derek",lf,0.075,"$554,400 ",,
"Drake, Oliver",lhp,1.094,"$554,300 ",,
"Junis, Jake",rhp-s,0.087,"$554,250 ",,
"Hernandez, Marco",ss,1.105,"$554,000 ",,
"Ramos, Edubray",rhp,1.076,"$554,000 ",,
"Pazos, James",lhp,1.067,"$553,900 ",,
"Goodwin, Brian",of,1.019,"$553,900 ",,
"Holder, Jonathan",rhp,0.144,"$553,850 ",,
"Machado, Dixon",ss,1.075,"$553,600 ",,
"Wright, Mike",rhp,1.111,"$553,500 ",,
"Sewald, Paul",rhp,0.160,"$553,250 ",,
"Hedges, Austin",c,1.166,"$553,100 ",,
"Smith, Mallex",lf-cf,1.125,"$553,000 ",,
"Castro, Miguel",rhp,1.079,"$553,000 ",,
"Williams, Nick",of,0.094,"$553,000 ",,
"Delmonico, Nick",1b,0.062,"$553,000 ",,
"Mitchell, Bryan",rhp-s,2.049,"$552,800 ",,
"Strahm, Matt",lhp,1.064,"$552,700 ",,
"Refsnyder, Rob",2b-of,1.107,"$552,500 ",,
"Stratton, Chris",rhp-s,0.120,"$552,500 ",,
"Hoskins, Rhys",1b,0.053,"$552,500 ",,
"Smith, Burch",rhp,1.051,"$552,450 ",,
"Stumpf, Daniel",lhp,1.063,"$552,000 ",,
"Engel, Adam",of,0.118,"$552,000 ",,
"Fulmer, Carson",rhp,0.065,"$552,000 ",,
"Maddox, Austin",rhp,0.042,"$552,000 ",,
"Glover, Koda",rhp,1.051,"$551,700 ",,
"Dickerson, Alex",lf,1.146,"$551,600 ",,
"Meyer, Alex",rhp-s,1.013,"$551,500 ",,
"VerHagen, Drew",rhp-s,1.149,"$551,400 ",,
"Hicks, John",c,1.001,"$551,300 ",,
"Wade, Tyler",2b,0.081,"$551,300 ",,
"Zimmer, Bradley",of,0.139,"$551,200 ",,
"Middleton, Keynan",rhp,0.150,"$551,000 ",,
"Pivetta, Nick",rhp,0.129,"$551,000 ",,
"Weaver, Luke",rhp-s,0.112,"$550,800 ",,
"Bandy, Jett",c,1.161,"$550,700 ",,
"Saupold, Warwick",rhp,1.035,"$550,400 ",,
"Gonzales, Marco",lhp,0.102,"$550,300 ",,
"Pruitt, Austin",rhp,0.132,"$550,200 ",,
"Asuaje, Carlos",2b,0.116,"$550,100 ",,
"Woodruff, Brandon",rhp,0.089,"$550,100 ",,
"Davis, J.D.",3b,0.058,"$550,100 ",,
"Wolters, Tony",c,1.161,"$550,000 ",,
"Manaea, Sean",lhp-s,1.157,"$550,000 ",,
"Coulombe, Daniel",lhp,1.149,"$550,000 ",,
"Triggs, Andrew",rhp-s,1.123,"$550,000 ",,
"Estevez, Carlos",rhp,1.085,"$550,000 ",,
"Pinder, Chad",2b,1.044,"$550,000 ",,
"Marquez, German",rhp,1.023,"$550,000 ",,
"Valaika, Pat",ss,1.022,"$550,000 ",,
"Cotton, Jharel",rhp-s,1.021,"$550,000 ",,
"Maxwell, Bruce",c,1.016,"$550,000 ",,
"Freeland, Kyle",lhp-s,1.000,"$550,000 ",,
"Senzatela, Antonio",rhp-s,1.000,"$550,000 ",,
"Urias, Julio",lhp-s,0.123,"$550,000 ",,
"Moran, Colin",3b,0.107,"$550,000 ",,
"Font, Wilmer",rhp,0.085,"$550,000 ",,
"Lively, Ben",rhp,0.083,"$550,000 ",,
"Gomez, Roberto",rhp,0.027,"$550,000 ",,
"Altavilla, Dan",rhp,0.150,"$549,900 ",,
"Alvarado, Jose",lhp,0.093,"$549,800 ",,
"Leiter, Mark",rhp,0.136,"$549,500 ",,
"Jones, JaCoby",cf,0.125,"$549,400 ",,
"Ynoa, Gabriel",rhp,0.093,"$549,000 ",,
"Bummer, Aaron",lhp,0.067,"$549,000 ",,
"Rosario, Amed",ss,0.062,"$548,940 ",,
"Barbato, Johnny",rhp,0.113,"$548,600 ",,
"Villanueva, Christian",3b,1.014,"$548,500 ",,
"Cordoba, Allen",inf,1.000,"$548,500 ",,
"Ramirez, Noe",rhp,0.139,"$548,500 ",,
"Urshela, Giovanny",3b,1.032,"$548,300 ",,
"Robertson, Daniel",ss,0.156,"$548,300 ",,
"Olson, Tyler",lhp,0.126,"$548,300 ",,
"Candelario, Jeimer",3b,0.056,"$548,300 ",,
"Kittredge, Andrew",rhp,0.040,"$548,100 ",,
"Knapp, Andrew",c,1.000,"$548,000 ",,
"Milner, Hoby",lhp,0.104,"$548,000 ",,
"Johnson, Brian",lhp,0.043,"$548,000 ",,
"Gonzalez, Erik",3b,1.007,"$547,800 ",,
"Brice, Austin",rhp,1.000,"$547,500 ",,
"Reed, Cody",lhp,0.166,"$547,500 ",,
"Mengden, Daniel",rhp-s,0.157,"$547,500 ",,
"Chapman, Matt",3b,0.109,"$547,500 ",,
"Olson, Matt",1b,0.103,"$547,500 ",,
"Powell, Boog",of,0.100,"$547,500 ",,
"Garrett, Amir",lhp-s,0.099,"$547,500 ",,
"Pagan, Emilio",rhp,0.098,"$547,500 ",,
"Blackburn, Paul",rhp,0.093,"$547,500 ",,
"Gossett, Daniel",rhp,0.091,"$547,500 ",,
"Alcantara, Raul",rhp-s,0.083,"$547,500 ",,
"Garver, Mitch",c,0.045,"$547,500 ",,
"Jimenez, Joe",rhp,0.077,"$547,200 ",,
"Mondesi, Adalberto",ss,0.121,"$547,125 ",,
"Hoffman, Jeff",rhp,0.155,"$547,000 ",,
"Rodriguez, Ricardo",rhp,0.055,"$547,000 ",,
"Velazquez, Hector",rhp,0.048,"$547,000 ",,
"Tauchman, Mike",cf,0.047,"$547,000 ",,
"McMahon, Ryan",1b-3b,0.039,"$547,000 ",,
"Alfaro, Jorge",c,0.024,"$547,000 ",,
"Wendle, Joey",2b,0.088,"$546,900 ",,
"McGrath, Kyle",lhp,0.058,"$546,900 ",,
"Skoglund, Eric",lhp,0.068,"$546,625 ",,
"Santander, Anthony",of,1.000,"$546,500 ",,
"Cordero, Franchy",cf,0.038,"$546,500 ",,
"Sisco, Chance",c,0.031,"$546,500 ",,
"Gallagher, Cam",c,0.048,"$546,400 ",,
"Starling, Bubba",of,0.037,"$546,200 ",,
"Lawrence, Casey",rhp,0.093,"$546,000 ",,
"Blackburn, Clayton",rhp,0.007,"$546,000 ",,
"Herrera, Ronald",rhp,0.007,"$546,000 ",,
"Merritt, Ryan",lhp,0.075,"$545,800 ",,
"Vogelbach, Dan",1b,0.059,"$545,700 ",,
"Marjama, Mike",c,0.031,"$545,700 ",,
"Rhame, Jacob",rhp,0.030,"$545,650 ",,
"Reyes, Alex",rhp-s,1.055,"$545,600 ",,
"De Leon, Jose",rhp,0.030,"$545,600 ",,
"Moronta, Reyes",rhp,0.028,"$545,500 ",,
"Crawford, J.P.",ss,0.027,"$545,500 ",,
"Anderson, Cody",rhp-s,2.017,"$545,000 ",,
"Telis, Tomas",c,1.044,"$545,000 ",,
"Riddle, J.T.",ss,0.158,"$545,000 ",,
"Romano, Sal",rhp,0.081,"$545,000 ",,
"Winker, Jesse",of,0.080,"$545,000 ",,
"Shackelford, Kevin",rhp,0.069,"$545,000 ",,
"Alford, Anthony",of,0.068,"$545,000 ",,
"Davis, Rookie",rhp-s,0.065,"$545,000 ",,
"Rodgers, Brady",rhp,0.063,"$545,000 ",,
"Ervin, Phillip",of,0.057,"$545,000 ",,
"Cooper, Garrett",1b,0.053,"$545,000 ",,
"Nunez, Renato",dh-lf,0.048,"$545,000 ",,
"Turley, Nik",lhp-s,0.048,"$545,000 ",,
"Mayers, Mike",rhp,0.038,"$545,000 ",,
"Mahle, Tyler",rhp,0.036,"$545,000 ",,
"Wallach, Chad",c,0.035,"$545,000 ",,
"Stephens, Jackson",rhp,0.034,"$545,000 ",,
"Anderson, Brian",3b,0.031,"$545,000 ",,
"Flaherty, Jack",rhp-s,0.031,"$545,000 ",,
"Brinson, Lewis",of,0.025,"$545,000 ",,
"Quinn, Roman",of,0.022,"$545,000 ",,
"Moya, Gabriel",lhp,0.020,"$545,000 ",,
"Arano, Victor",rhp,0.020,"$545,000 ",,
"Johnson, Pierce",rhp,0.014,"$545,000 ",,
"Guerrero, Tayron",rhp,0.004,"$545,000 ",,
"Araujo, Pedro",rhp,0.000,"$545,000 ",,
"Cortes, Nestor",lhp,0.000,"$545,000 ",,
"Poyner, Bobby",lhp,0.000,"$545,000 ",,
"Walden, Marcus",rhp,0.000,"$545,000 ",,
"Weiss, Zack",rhp,0.000,"$545,000 ",,
"Gonzalez, Rayan",rhp,0.000,"$545,000 ",,
"Reyes, Victor",of,0.000,"$545,000 ",,
"Hill, Tim",lhp,0.000,"$545,000 ",,
"Keller, Brad",rhp,0.000,"$545,000 ",,
"Bard, Luke",rhp,0.000,"$545,000 ",,
"Ohtani, Shohei",rhp-s,0.000,"$545,000 ",,
"Kinley, Tyler",rhp,0.000,"$545,000 ",,
"Burdi, Nick",rhp,0.000,"$545,000 ",,
"Cimber, Adam",rhp,0.000,"$545,000 ",,
"Fernandez, Julian",rhp,0.000,"$545,000 ",,
"Hicks, Jordan",rhp,0.000,"$545,000 ",,
"Munoz, Yairo",ss,0.000,"$545,000 ",,
"Chirinos, Yonny",rhp,0.000,"$545,000 ",,
"Yarbrough, Ryan",lhp,0.000,"$545,000 ",,
"Palumbo, Joe",lhp,0.000,"$545,000 ",,
"Tocci, Carlos",of,0.000,"$545,000 ",,
