Player,Pos,MLS,2014 Salary
"Greinke, Zack",rhp-s,9.057,"$26,000,000 "
"Howard, Ryan",1b,8.145,"$25,000,000 "
"Lee, Cliff",lhp-s,10.100,"$25,000,000 "
"Wells, Vernon",of,12.113,"$24,642,857 "
"Fielder, Prince",1b,8.068,"$24,000,000 "
"Cano, Robinson",2b,8.153,"$24,000,000 "
"Hamels, Cole",lhp-s,7.143,"$23,500,000 "
"Teixeira, Mark",1b,11.000,"$23,125,000 "
"Mauer, Joe",1b,10.000,"$23,000,000 "
"Pujols, Albert",1b,13.000,"$23,000,000 "
"Sabathia, CC",lhp-s,13.000,"$23,000,000 "
"Hernandez, Felix",rhp-s,8.060,"$22,857,143 "
"Tanaka, Masahiro",rhp-s,0.000,"$22,000,000 "
"Cabrera, Miguel",1b,10.101,"$22,000,000 "
"Gonzalez, Adrian",1b,8.108,"$21,857,143 "
"Kemp, Matt",cf,7.049,"$21,250,000 "
"Ellsbury, Jacoby",cf,6.037,"$21,142,857 "
"Crawford, Carl",lf,11.072,"$21,107,143 "
"Cain, Matt",rhp-s,8.038,"$20,833,333 "
"Werth, Jayson",rf,10.102,"$20,571,429 "
"Verlander, Justin",rhp-s,8.002,"$20,000,000 "
"Wright, David",3b,9.075,"$20,000,000 "
"Wainwright, Adam",rhp-s,8.027,"$19,500,000 "
"Buehrle, Mark",lhp-s,13.078,"$19,000,000 "
"Soriano, Alfonso",dh,13.079,"$19,000,000 "
"Hamilton, Josh",lf,7.000,"$17,400,000 "
"Lincecum, Tim",rhp-s,6.148,"$17,000,000 "
"McCann, Brian",c,8.117,"$17,000,000 "
"Holliday, Matt",lf,10.000,"$17,000,000 "
"Beckett, Josh",rhp-s,12.030,"$17,000,000 "
"Beltre, Adrian",3b,15.096,"$17,000,000 "
"Wilson, C.J.",lhp-s,8.055,"$16,500,000 "
"Weaver, Jered",rhp-s,7.129,"$16,200,000 "
"Kuroda, Hiroki",rhp-s,6.000,"$16,000,000 "
"Pence, Hunter",rf,6.156,"$16,000,000 "
"Tulowitzki, Troy",ss,7.033,"$16,000,000 "
"Napoli, Mike",1b,7.151,"$16,000,000 "
"Kinsler, Ian",2b,8.000,"$16,000,000 "
"Ramirez, Hanley",ss,8.014,"$16,000,000 "
"Reyes, Jose",ss,10.111,"$16,000,000 "
"Ramirez, Aramis",3b,14.111,"$16,000,000 "
"Lackey, John",rhp-s,11.095,"$15,950,000 "
"Sanchez, Anibal",rhp-s,7.099,"$15,800,000 "
"Danks, John",lhp-s,7.000,"$15,750,000 "
"Scherzer, Max",rhp-s,5.079,"$15,525,000 "
"Ethier, Andre",cf,7.153,"$15,500,000 "
"Peralta, Jhonny",ss,9.118,"$15,500,000 "
"Ortiz, David",dh,15.048,"$15,500,000 "
"Markakis, Nick",rf,8.000,"$15,350,000 "
"Molina, Yadier",c,9.123,"$15,200,000 "
"Swisher, Nick",1b,9.031,"$15,000,000 "
"Utley, Chase",2b,10.027,"$15,000,000 "
"Dunn, Adam",dh-1b,12.074,"$15,000,000 "
"Beltran, Carlos",rf,15.014,"$15,000,000 "
"Peavy, Jake",rhp-s,11.101,"$14,500,000 "
"Upton, Justin",lf,6.060,"$14,458,333 "
"Santana, Ervin",rhp-s,8.104,"$14,100,000 "
"Upton, B.J.",cf,7.126,"$14,050,000 "
"Price, David",lhp-s,4.164,"$14,000,000 "
"Choo, Shin-Soo",lf,6.119,"$14,000,000 "
"Zimmerman, Ryan",3b,8.032,"$14,000,000 "
"Bautista, Jose",rf,8.165,"$14,000,000 "
"Soriano, Rafael",rhp-c,11.057,"$14,000,000 "
"Hunter, Torii",rf,14.132,"$14,000,000 "
"Bourn, Michael",cf,7.028,"$13,500,000 "
"Shields, James",rhp-s,7.125,"$13,500,000 "
"Rios, Alex",rf,9.130,"$13,500,000 "
"Jones, Adam",cf,6.139,"$13,333,333 "
"Uggla, Dan",2b,8.000,"$13,200,000 "
"Lester, Jon",lhp-s,7.075,"$13,000,000 "
"Papelbon, Jonathan",rhp-c,8.064,"$13,000,000 "
"Jackson, Edwin",rhp-s,8.070,"$13,000,000 "
"Granderson, Curtis",lf-cf,8.077,"$13,000,000 "
"Victorino, Shane",rf,8.092,"$13,000,000 "
"Rodriguez, Wandy",lhp-s,8.105,"$13,000,000 "
"Pedroia, Dustin",2b,7.041,"$12,625,000 "
"Garza, Matt",rhp-s,6.149,"$12,500,000 "
"Votto, Joey",1b,6.027,"$12,000,000 "
"Feldman, Scott",rhp-s,7.091,"$12,000,000 "
"Billingsley, Chad",rhp-s,7.110,"$12,000,000 "
"Nolasco, Ricky",rhp-s,7.142,"$12,000,000 "
"Dickey, R.A.",rhp-s,8.007,"$12,000,000 "
"Weeks, Rickie",2b,8.131,"$12,000,000 "
"LaRoche, Adam",1b,10.000,"$12,000,000 "
"Martinez, Victor",dh,10.114,"$12,000,000 "
"Jeter, Derek",ss,18.043,"$12,000,000 "
"Gallardo, Yovani",rhp-s,6.108,"$11,500,000 "
"Cuddyer, Michael",rf,10.157,"$11,500,000 "
"Posey, Buster",c,3.161,"$11,277,778 "
"Jimenez, Ubaldo",rhp-s,6.087,"$11,250,000 "
"Burnett, A.J.",rhp-s,14.038,"$11,250,000 "
"Prado, Martin",3b,6.105,"$11,000,000 "
"Braun, Ryan",rf,6.129,"$11,000,000 "
"Hill, Aaron",2b,8.136,"$11,000,000 "
"De La Rosa, Jorge",lhp-s,9.015,"$11,000,000 "
"Phillips, Brandon",2b,9.022,"$11,000,000 "
"Lohse, Kyle",rhp-s,12.092,"$11,000,000 "
"Rollins, Jimmy",ss,13.015,"$11,000,000 "
"Hudson, Tim",rhp-s,14.119,"$11,000,000 "
"Gonzalez, Carlos",cf,5.059,"$10,928,571 "
"Gordon, Alex",lf,6.092,"$10,750,000 "
"Headley, Chase",3b,5.123,"$10,525,000 "
"Cespedes, Yoenis",lf,2.000,"$10,500,000 "
"Davis, Chris",1b,4.061,"$10,350,000 "
"McCarthy, Brandon",rhp-s,7.122,"$10,250,000 "
"Pagan, Angel",cf,7.144,"$10,250,000 "
"Bruce, Jay",rf,5.125,"$10,041,667 "
"Darvish, Yu",rhp-s,2.000,"$10,000,000 "
"Johnson, Jim",rhp-c,5.165,"$10,000,000 "
"Cueto, Johnny",rhp-s,6.000,"$10,000,000 "
"Cabrera, Asdrubal",ss,6.027,"$10,000,000 "
"Wilson, Brian",rhp,6.059,"$10,000,000 "
"Montero, Miguel",c,7.031,"$10,000,000 "
"Bell, Heath",rhp,8.099,"$10,000,000 "
"Haren, Dan",rhp-s,9.154,"$10,000,000 "
"Masterson, Justin",rhp-s,5.108,"$9,762,500 "
"Kendrick, Howie",2b,7.091,"$9,700,000 "
"Ramirez, Alexei",ss,6.000,"$9,500,000 "
"Quentin, Carlos",lf,7.065,"$9,500,000 "
"Martin, Russell",c,7.150,"$9,500,000 "
"Ross, Cody",of,8.058,"$9,500,000 "
