Player,Pos,MLS,2014 Salary
"Arroyo, Bronson",rhp-s,11.150,"$9,500,000 "
"Bailey, Homer",rhp-s,5.017,"$9,000,000 "
"Kazmir, Scott",lhp-s,7.119,"$9,000,000 "
"Encarnacion, Edwin",1b,8.085,"$9,000,000 "
"Nathan, Joe",rhp-c,12.120,"$9,000,000 "
"Colon, Bartolo",rhp-s,15.061,"$9,000,000 "
"Aybar, Erick",ss,7.086,"$8,750,000 "
"Abreu, Jose",1b,0.000,"$8,666,667 "
"Gonzalez, Gio",lhp-s,4.162,"$8,600,000 "
"Porcello, Rick",rhp-s,4.170,"$8,500,000 "
"Butler, Billy",dh,6.102,"$8,500,000 "
"Ruiz, Carlos",c,7.069,"$8,500,000 "
"League, Brandon",rhp,7.145,"$8,500,000 "
"Ludwick, Ryan",lf,8.109,"$8,500,000 "
"Sandoval, Pablo",3b,5.047,"$8,250,000 "
"Pierzynski, A.J.",c,13.100,"$8,250,000 "
"Harrison, Matt",lhp-s,5.083,"$8,200,000 "
"Anderson, Brett",lhp-s,5.000,"$8,000,000 "
"Cruz, Nelson",rf,6.082,"$8,000,000 "
"Morrow, Brandon",rhp-s,6.091,"$8,000,000 "
"Hughes, Phil",rhp-s,6.113,"$8,000,000 "
"Guthrie, Jeremy",rhp-s,7.130,"$8,000,000 "
"Cabrera, Melky",lf,7.148,"$8,000,000 "
"Johnson, Josh",rhp-s,8.026,"$8,000,000 "
"Byrd, Marlon",rf,9.115,"$8,000,000 "
"Buchholz, Clay",rhp-s,5.059,"$7,950,000 "
"Hardy, J.J.",ss,8.164,"$7,916,667 "
"Cahill, Trevor",rhp-s,5.000,"$7,900,000 "
"Garcia, Jaime",lhp-s,5.047,"$7,875,000 "
"Fowler, Dexter",cf,4.168,"$7,850,000 "
"Chapman, Aroldis",lhp-c,3.034,"$7,835,772 "
"Romero, Ricky",lhp-s,4.000,"$7,750,000 "
"Wieters, Matt",c,4.129,"$7,700,000 "
"Kendrick, Kyle",rhp-s,5.159,"$7,675,000 "
"Zimmermann, Jordan",rhp-s,4.154,"$7,500,000 "
"Motte, Jason",rhp,5.027,"$7,500,000 "
"Longoria, Evan",3b,5.170,"$7,500,000 "
"Crisp, Covelli",cf,10.158,"$7,500,000 "
"Uribe, Juan",3b,12.089,"$7,500,000 "
"McCutchen, Andrew",cf,4.123,"$7,458,333 "
"Kimbrel, Craig",rhp-c,3.066,"$7,250,000 "
"Latos, Mat",rhp-s,4.079,"$7,250,000 "
"Young, Chris",rf,7.045,"$7,250,000 "
"Fister, Doug",rhp-s,4.058,"$7,200,000 "
"Rasmus, Colby",cf,5.000,"$7,000,000 "
"Lind, Adam",dh,6.058,"$7,000,000 "
"Vargas, Jason",lhp-s,6.114,"$7,000,000 "
"Zobrist, Ben",2b,6.134,"$7,000,000 "
"Gomez, Carlos",cf,6.141,"$7,000,000 "
"Adams, Mike",rhp,7.019,"$7,000,000 "
"Broxton, Jonathan",rhp,8.020,"$7,000,000 "
"Willingham, Josh",lf,8.123,"$7,000,000 "
"Street, Huston",rhp-c,9.000,"$7,000,000 "
"Putz, J.J.",rhp,10.022,"$7,000,000 "
"Rodney, Fernando",rhp-c,10.137,"$7,000,000 "
"Andrus, Elvis",ss,5.000,"$6,725,000 "
"Scutaro, Marcos",2b,10.138,"$6,666,667 "
"Kershaw, Clayton",lhp-s,5.105,"$6,571,429 "
"Guerrero, Alexander",2b,0.000,"$6,500,000 "
"Iwakuma, Hisashi",rhp-s,2.000,"$6,500,000 "
"Stanton, Giancarlo",rf,3.118,"$6,500,000 "
"Desmond, Ian",ss,4.027,"$6,500,000 "
"Span, Denard",cf,5.111,"$6,500,000 "
"Suzuki, Ichiro",rf,13.000,"$6,500,000 "
"Romo, Sergio",rhp-c,5.097,"$6,300,000 "
"Kennedy, Ian",rhp-s,4.124,"$6,100,000 "
"Jackson, Austin",cf,4.000,"$6,000,000 "
"Saltalamacchia, Jarrod",c,6.043,"$6,000,000 "
"Morse, Michael",lf,6.114,"$6,000,000 "
"Hammel, Jason",rhp-s,6.153,"$6,000,000 "
"Liriano, Francisco",lhp-s,7.104,"$6,000,000 "
"Hart, Corey",dh,8.038,"$6,000,000 "
"Benoit, Joaquin",rhp,11.040,"$6,000,000 "
"Affeldt, Jeremy",lhp,12.000,"$6,000,000 "
"Leake, Mike",rhp-s,4.000,"$5,925,000 "
"Clippard, Tyler",rhp,4.148,"$5,875,000 "
"Castro, Starlin",ss,3.150,"$5,857,143 "
"Medlen, Kris",rhp-s,4.137,"$5,800,000 "
"Walker, Neil",2b,3.166,"$5,750,000 "
"Murphy, Daniel",2b,4.109,"$5,700,000 "
"Gardner, Brett",lf,5.072,"$5,600,000 "
"Murphy, David",rf,6.087,"$5,500,000 "
"Pelfrey, Mike",rhp-s,6.122,"$5,500,000 "
"Soria, Joakim",rhp,7.000,"$5,500,000 "
"Howell, J.P.",lhp,7.007,"$5,500,000 "
"Marshall, Sean",lhp,7.088,"$5,500,000 "
"Correia, Kevin",rhp-s,9.027,"$5,500,000 "
"Freeman, Freddie",1b,3.033,"$5,484,375 "
"Holland, Derek",lhp-s,4.120,"$5,400,000 "
"Samardzija, Jeff",rhp-s,4.028,"$5,345,000 "
"Norris, Bud",rhp-s,4.068,"$5,300,000 "
"Lowrie, Jed",ss,5.111,"$5,250,000 "
"Smith, Joe",rhp,6.091,"$5,250,000 "
"Ellis, Mark",2b,11.136,"$5,250,000 "
"Robertson, David",rhp-c,5.070,"$5,215,000 "
"Hochevar, Luke",rhp,5.151,"$5,210,000 "
"Happ, J.A.",lhp-s,5.047,"$5,200,000 "
"Maybin, Cameron",cf,4.073,"$5,100,000 "
"Gregerson, Luke",rhp,5.000,"$5,065,000 "
"Freese, David",3b,4.028,"$5,050,000 "
"Niese, Jon",lhp-s,4.107,"$5,050,000 "
"Heyward, Jason",rf,4.000,"$5,000,000 "
"Schierholtz, Nate",rf,5.078,"$5,000,000 "
"Volquez, Edinson",rhp-s,6.059,"$5,000,000 "
"Escobar, Yunel",ss,6.121,"$5,000,000 "
"Davis, Rajai",lf,6.167,"$5,000,000 "
"Vogelsong, Ryan",rhp-s,7.020,"$5,000,000 "
"Villanueva, Carlos",rhp,7.030,"$5,000,000 "
"McLouth, Nate",of,7.152,"$5,000,000 "
"Gomes, Jonny",lf-dh,8.097,"$5,000,000 "
"Morneau, Justin",1b,9.168,"$5,000,000 "
"Infante, Omar",2b,10.120,"$5,000,000 "
"Iannetta, Chris",c,7.013,"$4,975,000 "
"Callaspo, Alberto",3b,6.135,"$4,875,000 "
"Chacin, Jhoulys",rhp-s,4.012,"$4,850,000 "
"Parra, Gerardo",rf,4.145,"$4,850,000 "
"Trumbo, Mark",lf,3.027,"$4,800,000 "
"Davis, Wade",rhp,4.032,"$4,800,000 "
"Johnson, Chris",3b,3.144,"$4,750,000 "
"Mujica, Edward",rhp,6.115,"$4,750,000 "
"Logan, Boone",lhp,6.140,"$4,750,000 "
"Holland, Greg",rhp-c,3.028,"$4,675,000 "
"Fujikawa, Kyuji",rhp,1.000,"$4,500,000 "
"Axford, John",rhp-c,3.170,"$4,500,000 "
"Smith, Seth",lf-rf,5.119,"$4,500,000 "
"Ziegler, Brad",rhp,5.122,"$4,500,000 "
"Casilla, Santiago (Garcia, Jairo)",rhp,6.148,"$4,500,000 "
"Hernandez, Roberto",rhp-s,7.004,"$4,500,000 "
"Balfour, Grant",rhp-c,9.099,"$4,500,000 "
"DeJesus, David",lf,9.146,"$4,375,000 "
"Ryu, Hyun-Jin",lhp-s,1.000,"$4,333,333 "
"Jansen, Kenley",rhp-c,3.073,"$4,300,000 "
"Alvarez, Pedro",3b,3.085,"$4,250,000 "
"De Aza, Alejandro",cf-lf,4.139,"$4,250,000 "
"Venable, Will",rf,4.155,"$4,250,000 "
"Uehara, Koji",rhp-c,5.000,"$4,250,000 "
"Grilli, Jason",rhp-c,7.016,"$4,250,000 "
"Belisle, Matt",rhp,8.019,"$4,250,000 "
"Betancourt, Rafael",rhp-c,10.079,"$4,250,000 "
"Beckham, Gordon",2b,4.123,"$4,175,000 "
"Chen, Wei-Yin",lhp-s,2.000,"$4,155,333 "
"Avila, Alex",c,4.061,"$4,150,000 "
"Moss, Brandon",1b,3.160,"$4,100,000 "
"Stubbs, Drew",lf,4.047,"$4,100,000 "
"Perkins, Glen",lhp-c,6.010,"$4,025,000 "
"Morton, Charlie",rhp-s,5.010,"$4,000,000 "
"Hundley, Nick",c,5.059,"$4,000,000 "
"Lindstrom, Matt",rhp,7.000,"$4,000,000 "
"Floyd, Gavin",rhp-s,7.045,"$4,000,000 "
"Keppinger, Jeff",3b-2b,7.052,"$4,000,000 "
"Janssen, Casey",rhp-c,7.063,"$4,000,000 "
"Lopez, Javier",lhp,8.167,"$4,000,000 "
"Strasburg, Stephen",rhp-s,3.118,"$3,975,000 "
"Bumgarner, Madison",lhp-s,3.127,"$3,950,000 "
"Wood, Travis",lhp-s,3.004,"$3,900,000 "
"Burnett, Sean",lhp,7.085,"$3,875,000 "
"Rodriguez, Alex",3b,19.011,"$3,868,852 "
"Minor, Mike",lhp-s,2.138,"$3,850,000 "
"Veras, Jose",rhp-c,6.128,"$3,850,000 "
"Breslow, Craig",lhp,6.088,"$3,825,000 "
"Cishek, Steve",rhp-c,2.143,"$3,800,000 "
"Frieri, Ernesto",rhp-c,3.101,"$3,800,000 "
"Martin, Leonys",cf,1.113,"$3,750,000 "
"Santos, Sergio",rhp,4.000,"$3,750,000 "
"Downs, Scott",lhp,11.121,"$3,750,000 "
"Puig, Yasiel",rf,0.119,"$3,714,286 "
"Santana, Carlos",dh-1b,3.115,"$3,700,000 "
"Joyce, Matt",of,4.123,"$3,700,000 "
"Parnell, Bobby",rhp-c,4.132,"$3,700,000 "
"Gonzalez, Miguel",rhp-s,0.000,"$3,666,667 "
"Gee, Dillon",rhp-s,3.028,"$3,625,000 "
"Hellickson, Jeremy",rhp-s,3.045,"$3,625,000 "
"Hosmer, Eric",1b,2.146,"$3,600,000 "
"Ellis, A.J.",c,3.151,"$3,550,000 "
"Sale, Chris",lhp-s,3.061,"$3,500,000 "
"Davis, Ike",1b,3.155,"$3,500,000 "
"Aviles, Mike",inf,5.091,"$3,500,000 "
"Doumit, Ryan",c,8.120,"$3,500,000 "
"Thornton, Matt",lhp,9.129,"$3,500,000 "
"Furcal, Rafael",2b,14.000,"$3,500,000 "
"Chavez, Eric",3b-1b,15.020,"$3,500,000 "
"Storen, Drew",rhp,3.140,"$3,450,000 "
"Estrada, Marco",rhp-s,4.035,"$3,325,000 "
"Nova, Ivan",rhp-s,3.024,"$3,300,000 "
"Jay, Jon",cf,3.134,"$3,250,000 "
"Pennington, Cliff",ss-2b,4.114,"$3,250,000 "
"Burton, Jared",rhp,6.014,"$3,250,000 "
"Crain, Jesse",rhp,9.039,"$3,250,000 "
"Rodriguez, Francisco",rhp,10.115,"$3,250,000 "
"Chen, Bruce",lhp-s,10.171,"$3,250,000 "
"O'Day, Darren",rhp,5.103,"$3,200,000 "
"Tabata, Jose",rf,3.081,"$3,166,667 "
"Nakajima, Hiroyuki",ss,0.000,"$3,125,000 "
"Luebke, Cory",lhp-s,3.033,"$3,125,000 "
"Ross, David",c,11.001,"$3,100,000 "
"Soto, Geovany",c,6.096,"$3,050,000 "
"Arruebarruena, Erisbel",ss,0.000,"$3,000,000 "
"Belisario, Ronald",rhp,3.151,"$3,000,000 "
"Detwiler, Ross",lhp-s,4.002,"$3,000,000 "
"Feliz, Neftali",rhp-c,4.064,"$3,000,000 "
"Hunter, Tommy",rhp,4.066,"$3,000,000 "
"Escobar, Alcides",ss,4.082,"$3,000,000 "
"Navarro, Dioner",c,7.091,"$3,000,000 "
"Peralta, Joel",rhp,7.132,"$3,000,000 "
"Johnson, Kelly",3b,8.127,"$3,000,000 "
"Izturis, Maicer",2b-3b,9.038,"$3,000,000 "
"Choate, Randy",lhp,9.073,"$3,000,000 "
"Gorzelanny, Tom",lhp,6.160,"$2,950,000 "
"Belt, Brandon",1b,2.128,"$2,900,000 "
"Viciedo, Dayan",lf,2.123,"$2,800,000 "
"Bloomquist, Willie",ss-3b,11.029,"$2,800,000 "
"Stults, Eric",lhp-s,3.075,"$2,750,000 "
"Craig, Allen",rf,3.077,"$2,750,000 "
"Jones, Garrett",1b,4.158,"$2,750,000 "
"Hanigan, Ryan",c,5.077,"$2,750,000 "
"Suzuki, Kurt",c,6.113,"$2,750,000 "
"Qualls, Chad",rhp,9.058,"$2,750,000 "
"Punto, Nick",ss-2b,11.051,"$2,750,000 "
"Ibanez, Raul",dh-lf,16.020,"$2,750,000 "
"Rendon, Anthony",2b,0.130,"$2,700,000 "
"Reddick, Josh",rf,3.050,"$2,700,000 "
"Soler, Jorge",of,0.000,"$2,666,667 "
"Loney, James",1b,7.012,"$2,666,667 "
"Moreland, Mitch",dh-1b,3.067,"$2,650,000 "
"Smoak, Justin",1b,3.113,"$2,637,500 "
"Ogando, Alexi",rhp-s,3.114,"$2,625,000 "
"Melancon, Mark",rhp,3.098,"$2,595,000 "
"Blanco, Gregor",cf-lf,3.164,"$2,525,000 "
"Bonifacio, Emilio",3b-2b,5.066,"$2,500,000 "
"Chamberlain, Joba",rhp,6.055,"$2,500,000 "
"Hairston, Scott",lf-rf,8.102,"$2,500,000 "
"Konerko, Paul",1b-dh,15.141,"$2,500,000 "
"Castro, Jason",c,3.104,"$2,450,000 "
"Cabrera, Everth",ss,3.144,"$2,450,000 "
"Cashner, Andrew",rhp-s,3.126,"$2,400,000 "
"Matusz, Brian",lhp,3.156,"$2,400,000 "
"Brantley, Michael",lf,3.131,"$2,375,000 "
"Thatcher, Joe",lhp,5.068,"$2,375,000 "
"Plouffe, Trevor",3b,2.162,"$2,350,000 "
"Barney, Darwin",2b,3.053,"$2,300,000 "
"Saunders, Michael",cf,3.138,"$2,300,000 "
"Sanchez, Gaby",1b,4.025,"$2,300,000 "
"Jaso, John",c,4.032,"$2,300,000 "
"Perez, Chris",rhp,5.136,"$2,300,000 "
"Denorfia, Chris",of,6.041,"$2,250,000 "
"Raburn, Ryan",lf-rf,6.109,"$2,250,000 "
"Albers, Matt",rhp,6.141,"$2,250,000 "
"Capuano, Chris",lhp,9.001,"$2,250,000 "
"Hawkins, LaTroy",rhp-c,17.054,"$2,250,000 "
"Hechavarria, Adeiny",ss,1.060,"$2,200,000 "
"Lopez, Wilton",rhp,4.038,"$2,200,000 "
"Cotts, Neal",lhp,5.041,"$2,200,000 "
"Kipnis, Jason",2b,2.069,"$2,166,667 "
"Harper, Bryce",lf,1.159,"$2,150,000 "
"Badenhop, Burke",rhp,5.116,"$2,150,000 "
"Hernandez, David",rhp,4.095,"$2,125,000 "
"Lucroy, Jonathan",c,3.136,"$2,100,000 "
"Williams, Jerome",rhp-s,5.049,"$2,100,000 "
"Ramos, Wilson",c,3.047,"$2,095,000 "
"Nicasio, Juan",rhp-s,2.124,"$2,025,000 "
"Ruggiano, Justin",cf,3.019,"$2,000,000 "
"Bastardo, Antonio",lhp,4.054,"$2,000,000 "
"Hanson, Tommy",rhp-s,4.097,"$2,000,000 "
"Duensing, Brian",lhp,4.104,"$2,000,000 "
"Parra, Manny",lhp,6.063,"$2,000,000 "
"Ryan, Brendan",ss-2b,6.082,"$2,000,000 "
"Reynolds, Mark",1b,6.138,"$2,000,000 "
"Schumaker, Skip",2b-of,7.051,"$2,000,000 "
"Barmes, Clint",ss,8.122,"$2,000,000 "
"Kubel, Jason",lf,9.009,"$2,000,000 "
"Roberts, Brian",2b,11.131,"$2,000,000 "
"Ross, Tyson",rhp-s,2.126,"$1,980,000 "
"Revere, Ben",cf,2.149,"$1,950,000 "
"Aoki, Norichika",rf,2.000,"$1,918,750 "
"Miller, Andrew",lhp,5.062,"$1,903,125 "
"Coke, Phil",lhp,5.028,"$1,900,000 "
"Young Jr., Eric",lf,3.123,"$1,850,000 "
"Rogers, Esmil",rhp-s,3.135,"$1,850,000 "
"Arencibia, J.P.",c,3.059,"$1,800,000 "
"Wright, Jamey",rhp,15.086,"$1,800,000 "
"Russell, James",lhp,4.000,"$1,775,000 "
"Kelley, Shawn",rhp,4.128,"$1,765,000 "
"Heisey, Chris",of,3.157,"$1,760,000 "
"Morrison, Logan",rf,3.069,"$1,750,000 "
"Webb, Ryan",rhp,4.029,"$1,750,000 "
"Frasor, Jason",rhp,9.134,"$1,750,000 "
"Perez, Oliver",lhp,9.144,"$1,750,000 "
"Molina, Jose",c,12.026,"$1,750,000 "
"Morales, Franklin",lhp-s,5.007,"$1,712,500 "
"Valbuena, Luis",3b,3.148,"$1,710,000 "
"Hultzen, Danny",lhp,0.000,"$1,700,000 "
"Ackley, Dustin",lf,2.087,"$1,700,000 "
"Dobbs, Greg",1b,8.027,"$1,700,000 "
"Blevins, Jerry",lhp,4.081,"$1,675,000 "
"Iglesias, Jose",ss,1.036,"$1,650,000 "
"Duda, Lucas",1b-lf,2.137,"$1,637,500 "
"Dirks, Andy",lf,2.139,"$1,625,000 "
"Venters, Jonny",lhp,4.000,"$1,625,000 "
"Stauffer, Tim",rhp,5.143,"$1,600,000 "
"Baker, Jeff",1b-of,7.049,"$1,600,000 "
"Mayberry Jr., John",of,3.095,"$1,587,500 "
"Rizzo, Anthony",1b,1.168,"$1,535,714 "
"Perez, Salvador",c,2.050,"$1,500,000 "
"Simon, Alfredo",rhp,4.142,"$1,500,000 "
"Lannan, John",lhp-s,5.046,"$1,500,000 "
"Paulino, Felipe",rhp-s,5.163,"$1,500,000 "
"Sweeney, Ryan",cf,6.028,"$1,500,000 "
"O'Flaherty, Eric",lhp,6.062,"$1,500,000 "
"Oviedo, Juan Carlos",rhp,7.009,"$1,500,000 "
"Mathis, Jeff",c,7.012,"$1,500,000 "
"McGowan, Dustin",rhp,7.113,"$1,500,000 "
"Maholm, Paul",lhp-s,8.037,"$1,500,000 "
"Laird, Gerald",c,9.077,"$1,500,000 "
"Overbay, Lyle",1b,11.009,"$1,500,000 "
"Walden, Jordan",rhp,3.043,"$1,490,000 "
"Crow, Aaron",rhp,3.000,"$1,475,000 "
"Rodriguez, Sean",2b-3b,4.133,"$1,475,000 "
"Jepsen, Kevin",rhp,3.163,"$1,462,500 "
"McGee, Jake",lhp,2.127,"$1,450,000 "
"Beachy, Brandon",rhp-s,3.014,"$1,450,000 "
"Altuve, Jose",2b,2.072,"$1,437,500 "
"Ondrusek, Logan",rhp,3.125,"$1,425,000 "
"Wright, Wesley",lhp,4.105,"$1,425,000 "
"Carp, Mike",1b-lf,3.010,"$1,400,000 "
"Dunn, Michael",lhp,3.079,"$1,400,000 "
"Arguelles, Noel",lhp,0.027,"$1,380,000 "
"Rzepczynski, Marc",lhp,3.132,"$1,375,000 "
"Stammen, Craig",rhp,3.160,"$1,375,000 "
"Collins, Tim",lhp,3.000,"$1,362,500 "
"Francisco, Juan",1b,2.156,"$1,350,000 "
"Strop, Pedro",rhp,2.156,"$1,325,000 "
"Maxwell, Justin",rf,3.066,"$1,325,000 "
"Guzman, Jesus",1b-lf,2.151,"$1,300,000 "
"Cecil, Brett",lhp,3.152,"$1,300,000 "
"Herrera, Jonathan",inf,4.001,"$1,300,000 "
"Descalso, Daniel",3b-ss,3.016,"$1,290,000 "
"Tazawa, Junichi",rhp,3.086,"$1,275,000 "
"Carpenter, Matt",3b,2.012,"$1,250,000 "
"Thole, Josh",c,3.085,"$1,250,000 "
"Barton, Daric",1b,4.030,"$1,250,000 "
"Outman, Josh",lhp,4.036,"$1,250,000 "
"Ohlendorf, Ross",rhp-s,4.170,"$1,250,000 "
"Marmol, Carlos",rhp,7.075,"$1,250,000 "
"Young, Chris",rhp-s,7.162,"$1,250,000 "
"Bundy, Dylan",rhp,0.015,"$1,245,000 "
"Bourjos, Peter",cf,3.062,"$1,200,000 "
"LeCure, Sam",rhp,3.072,"$1,200,000 "
"Snider, Travis",lf-rf,3.091,"$1,200,000 "
"Bauer, Trevor",rhp-s,0.025,"$1,183,333 "
"Arias, Joaquin",ss-3b,4.071,"$1,150,000 "
"Gentry, Craig",cf-rf,3.084,"$1,145,000 "
"Simmons, Andrelton",ss,1.125,"$1,142,857 "
"Nieves, Wil",c,6.127,"$1,125,000 "
"Patton, Troy",lhp,3.150,"$1,100,820 "
"Moore, Matt",lhp-s,2.017,"$1,100,000 "
"Goldschmidt, Paul",1b,2.059,"$1,100,000 "
"Tejada, Ruben",ss,2.171,"$1,100,000 "
"McGehee, Casey",3b,4.028,"$1,100,000 "
"Boggs, Mitchell",rhp,4.034,"$1,100,000 "
"Santiago, Ramon",ss-2b,9.095,"$1,100,000 "
"Gonzalez, Alex",ss,14.099,"$1,100,000 "
"Schafer, Jordan",cf,3.121,"$1,090,000 "
"Purke, Matt",lhp-s,0.000,"$1,037,500 "
"Reimold, Nolan",lf,4.004,"$1,025,000 "
